,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
0,D032728,184.0,308.0,598.0,20165.0,5.214935757608986,5.730099782973574,6.393590753950631,9.911703707307469,100.0
1,D045484,179.0,217.0,78.0,3593.0,5.187385805840755,5.37989735354046,4.356708826689592,8.186742787113518,95.09150883873316
6,I321755,64.0,72.0,56.0,23152.0,4.1588830833596715,4.276666119016055,4.02535169073515,10.049836448871265,88.44380774623312
7,D035583,60.0,85.0,105.0,3454.0,4.0943445622221,4.442651256490317,4.653960350157523,8.147288258706624,88.17243053393196
5,D065568,75.0,76.0,33.0,4191.0,4.31748811353631,4.330733340286331,3.4965075614664802,8.340694647925071,87.2605740336135
3,D028073,88.0,89.0,16.0,1575.0,4.477336814478207,4.48863636973214,2.772588722239781,7.362010551259734,86.63562478190214
2,D045643,94.0,97.0,8.0,1259.0,4.543294782270004,4.574710978503383,2.0794415416798357,7.138073034044347,85.98015174652731
14,D053956,45.0,49.0,44.0,6017.0,3.8066624897703196,3.8918202981106265,3.784189633918261,8.702344075220351,84.31754091043192
13,D062462,46.0,52.0,22.0,10131.0,3.828641396489095,3.9512437185814275,3.091042453358316,9.223355309053677,83.93445505001833
8,I852153,56.0,56.0,27.0,521.0,4.02535169073515,4.02535169073515,3.295836866004329,6.255750041753367,83.09268841421533
4,D058883,84.0,84.0,3.0,377.0,4.430816798843313,4.430816798843313,1.0986122886681098,5.932245187448011,82.5720872391477
25,I830178,32.0,32.0,38.0,8786.0,3.4657359027997265,3.4657359027997265,3.6375861597263857,9.080914824535725,81.4430509884505
28,D045309,30.0,32.0,42.0,2575.0,3.4011973816621555,3.4657359027997265,3.7376696182833684,7.853604813097837,80.30608949308784
26,I811203,31.0,32.0,28.0,1774.0,3.4339872044851463,3.4657359027997265,3.332204510175204,7.480992162869525,79.50320653781964
71,D046082,16.0,36.0,63.0,9651.0,2.772588722239781,3.58351893845611,4.143134726391533,9.174816815907135,79.35458979687957
20,D027046,37.0,37.0,13.0,1199.0,3.6109179126442243,3.6109179126442243,2.5649493574615367,7.089243155027514,79.27067510549581
18,I839276,39.0,40.0,7.0,1483.0,3.6635616461296463,3.6888794541139363,1.9459101490553132,7.301822342137932,78.94376233962208
24,D038980,32.0,38.0,21.0,622.0,3.4657359027997265,3.6375861597263857,3.044522437723423,6.432940092739179,78.89121619961503
29,D019601,29.0,33.0,12.0,1792.0,3.367295829986474,3.4965075614664802,2.4849066497880004,7.491087593534876,77.88266683339815
21,D067046,36.0,38.0,5.0,1035.0,3.58351893845611,3.6375861597263857,1.6094379124341003,6.942156705699469,77.51600673213537
9,I817683,52.0,52.0,0.0,781.0,3.9512437185814275,3.9512437185814275,0.0,6.660575149839686,77.48288942206143
108,D043523,12.0,30.0,43.0,22578.0,2.4849066497880004,3.4011973816621555,3.7612001156935624,10.024731259821491,77.3891516490135
166,D034657,9.0,50.0,77.0,3212.0,2.1972245773362196,3.912023005428146,4.343805421853684,8.074649075066652,76.99528289928178
44,I837206,22.0,24.0,14.0,5179.0,3.091042453358316,3.1780538303479458,2.6390573296152584,8.552367266423891,76.5679066285119
37,D051008,25.0,25.0,12.0,1799.0,3.2188758248682006,3.2188758248682006,2.4849066497880004,7.4949862339505335,76.19732703367572
10,D067078,51.0,50.0,0.0,186.0,3.9318256327243257,3.912023005428146,0.0,5.225746673713202,76.03610086995204
47,I300348,22.0,22.0,14.0,2844.0,3.091042453358316,3.091042453358316,2.6390573296152584,7.952966790923131,75.7591818976854
58,I047582,19.0,25.0,20.0,1208.0,2.9444389791664403,3.2188758248682006,2.995732273553991,7.0967213784947605,75.31923802246817
43,D023226,22.0,29.0,9.0,1255.0,3.091042453358316,3.367295829986474,2.1972245773362196,7.134890851565884,75.24536337334762
12,I048108,47.0,47.0,0.0,141.0,3.8501476017100584,3.8501476017100584,0.0,4.948759890378168,75.16363459417262
27,I822901,31.0,31.0,2.0,1796.0,3.4339872044851463,3.4339872044851463,0.6931471805599453,7.493317248862145,74.96378220526323
11,I342860,50.0,50.0,0.0,59.0,3.912023005428146,3.912023005428146,0.0,4.07753744390572,74.9449466056262
46,C5223182,22.0,22.0,15.0,639.0,3.091042453358316,3.091042453358316,2.70805020110221,6.459904454377535,74.58727243867355
16,I824239,40.0,40.0,0.0,358.0,3.6888794541139363,3.6888794541139363,0.0,5.8805329864007,74.57236457192828
167,D044196,9.0,45.0,46.0,790.0,2.1972245773362196,3.8066624897703196,3.828641396489095,6.672032945461067,74.54619353773442
15,D062091,41.0,41.0,0.0,242.0,3.713572066704308,3.713572066704308,0.0,5.488937726156687,74.44613558370118
31,D065475,27.0,27.0,3.0,1729.0,3.295836866004329,3.295836866004329,1.0986122886681098,7.455298485683291,74.4341125177616
59,D048930,19.0,19.0,15.0,2281.0,2.9444389791664403,2.9444389791664403,2.70805020110221,7.732369222284388,74.41836113661138
168,D054823,9.0,23.0,35.0,10943.0,2.1972245773362196,3.1354942159291497,3.5553480614894135,9.300455261418444,74.01858993097049
54,I837365,20.0,20.0,6.0,4800.0,2.995732273553991,2.995732273553991,1.791759469228055,8.476371196895983,73.9137648062909
30,I834749,29.0,29.0,3.0,394.0,3.367295829986474,3.367295829986474,1.0986122886681098,5.976350909297934,73.76348864102826
95,I819934,13.0,17.0,23.0,4967.0,2.5649493574615367,2.833213344056216,3.1354942159291497,8.51057131510735,73.46107038957895
32,D021227,27.0,27.0,3.0,468.0,3.295836866004329,3.295836866004329,1.0986122886681098,6.148468295917647,73.28381719776125
23,I067679,33.0,33.0,1.0,523.0,3.4965075614664802,3.4965075614664802,0.0,6.259581464064923,73.21334155077521
33,C5254697,27.0,27.0,3.0,427.0,3.295836866004329,3.295836866004329,1.0986122886681098,6.056784013228625,73.20243649691614
19,I312264,38.0,35.0,0.0,170.0,3.6375861597263857,3.5553480614894135,0.0,5.135798437050262,73.1760818084902
17,I345155,40.0,40.0,0.0,47.0,3.6888794541139363,3.6888794541139363,0.0,3.8501476017100584,72.78075843976563
35,I812424,26.0,26.0,3.0,364.0,3.258096538021482,3.258096538021482,1.0986122886681098,5.8971538676367405,72.72392655529183
261,I816584,7.0,48.0,35.0,528.0,1.9459101490553132,3.871201010907891,3.5553480614894135,6.269096283706261,72.60288567935751
22,I048345,34.0,34.0,1.0,184.0,3.5263605246161616,3.5263605246161616,0.0,5.214935757608986,72.54778018932677
123,I805495,11.0,21.0,42.0,451.0,2.3978952727983707,3.044522437723423,3.7376696182833684,6.111467339502679,72.25480673262598
51,I808552,21.0,21.0,7.0,261.0,3.044522437723423,3.044522437723423,1.9459101490553132,5.564520407322694,72.02888110515903
84,I051699,14.0,16.0,22.0,808.0,2.6390573296152584,2.772588722239781,3.091042453358316,6.694562058521095,71.93836812770081
449,I007544,4.0,27.0,103.0,8277.0,1.3862943611198906,3.295836866004329,4.634728988229636,9.021235862885396,71.9297476239983
96,D032167,13.0,17.0,22.0,960.0,2.5649493574615367,2.833213344056216,3.091042453358316,6.866933284461882,71.91145207595463
45,I824896,22.0,23.0,4.0,356.0,3.091042453358316,3.1354942159291497,1.3862943611198906,5.87493073085203,71.8790645009902
170,I844893,9.0,13.0,45.0,5538.0,2.1972245773362196,2.5649493574615367,3.8066624897703196,8.619388703730907,71.82487353570772
52,I063378,21.0,21.0,5.0,400.0,3.044522437723423,3.044522437723423,1.6094379124341003,5.991464547107982,71.8065023131107
50,D042666,21.0,22.0,2.0,1941.0,3.044522437723423,3.091042453358316,0.6931471805599453,7.57095858316901,71.74580971124892
38,D046412,24.0,24.0,2.0,564.0,3.1780538303479458,3.1780538303479458,0.6931471805599453,6.335054251498059,71.66723081858606
82,I075996,14.0,20.0,12.0,785.0,2.6390573296152584,2.995732273553991,2.4849066497880004,6.665683717782408,71.6226612785191
83,D065339,14.0,19.0,15.0,557.0,2.6390573296152584,2.9444389791664403,2.70805020110221,6.322565239927284,71.53001168871677
85,I002209,14.0,16.0,19.0,670.0,2.6390573296152584,2.772588722239781,2.9444389791664403,6.507277712385012,71.50282110152423
53,I060548,20.0,24.0,3.0,576.0,2.995732273553991,3.1780538303479458,1.0986122886681098,6.3561076606958915,71.42921497961768
55,I007578,20.0,20.0,5.0,429.0,2.995732273553991,2.995732273553991,1.6094379124341003,6.061456918928017,71.42713457813454
68,D033594,17.0,21.0,11.0,183.0,2.833213344056216,3.044522437723423,2.3978952727983707,5.209486152841421,71.37704862349318
307,D057830,6.0,24.0,57.0,1584.0,1.791759469228055,3.1780538303479458,4.04305126783455,7.367708572374371,71.13429882247395
