,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
0,I811203,42.0,43.0,30.0,1803.0,3.7376696182833684,3.7612001156935624,3.4011973816621555,7.497207223203318,100.0
1,I852153,33.0,33.0,11.0,463.0,3.4965075614664802,3.4965075614664802,2.3978952727983707,6.137727054086234,94.15835066010993
2,D045643,33.0,33.0,2.0,479.0,3.4965075614664802,3.4965075614664802,0.6931471805599453,6.171700597410915,90.62989227488906
6,D062462,12.0,18.0,16.0,8067.0,2.4849066497880004,2.8903717578961645,2.772588722239781,8.995536944936974,89.00465690367966
7,I076061,12.0,15.0,44.0,707.0,2.4849066497880004,2.70805020110221,3.784189633918261,6.561030665896573,87.75825823990417
3,D038980,27.0,27.0,0.0,101.0,3.295836866004329,3.295836866004329,0.0,4.61512051684126,85.19221666149996
18,I075996,9.0,15.0,11.0,717.0,2.1972245773362196,2.70805020110221,2.3978952727983707,6.57507584059962,82.67561539966567
33,I333957,7.0,15.0,12.0,1635.0,1.9459101490553132,2.70805020110221,2.4849066497880004,7.399398083331354,82.07821927344553
10,D019601,11.0,12.0,5.0,567.0,2.3978952727983707,2.4849066497880004,1.6094379124341003,6.340359303727752,80.90415082475815
42,D044594,6.0,11.0,22.0,995.0,1.791759469228055,2.3978952727983707,3.091042453358316,6.902742737158593,80.35402430635529
13,I307084,10.0,10.0,5.0,628.0,2.302585092994046,2.302585092994046,1.6094379124341003,6.4425401664681985,79.45998155450448
23,I860308,8.0,11.0,6.0,597.0,2.0794415416798357,2.3978952727983707,1.791759469228055,6.391917113392602,78.67382329495524
4,D021391,16.0,16.0,0.0,73.0,2.772588722239781,2.772588722239781,0.0,4.290459441148391,78.64027835244207
25,I030593,8.0,8.0,10.0,735.0,2.0794415416798357,2.0794415416798357,2.302585092994046,6.5998704992128365,78.61953186146053
73,I837482,4.0,7.0,64.0,1361.0,1.3862943611198906,1.9459101490553132,4.1588830833596715,7.215975002651466,78.17071602342571
24,D028955,8.0,8.0,12.0,218.0,2.0794415416798357,2.0794415416798357,2.4849066497880004,5.384495062789089,77.56740883428594
11,I815562,11.0,11.0,2.0,248.0,2.3978952727983707,2.3978952727983707,0.6931471805599453,5.5134287461649825,77.23043647854612
8,D048012,12.0,12.0,0.0,295.0,2.4849066497880004,2.4849066497880004,0.0,5.68697535633982,76.80076151431996
9,I811651,12.0,12.0,0.0,242.0,2.4849066497880004,2.4849066497880004,0.0,5.488937726156687,76.5513156153732
55,D021577,5.0,5.0,29.0,944.0,1.6094379124341003,1.6094379124341003,3.367295829986474,6.8501261661455,75.71544800845471
26,I051918,8.0,8.0,6.0,187.0,2.0794415416798357,2.0794415416798357,1.791759469228055,5.231108616854587,75.62603656125872
74,D047346,4.0,6.0,37.0,682.0,1.3862943611198906,1.791759469228055,3.6109179126442243,6.525029657843462,75.14255628036204
34,I800309,7.0,8.0,4.0,599.0,1.9459101490553132,2.0794415416798357,1.3862943611198906,6.395261598115449,75.05176980315424
75,D053956,4.0,6.0,18.0,2684.0,1.3862943611198906,1.791759469228055,2.8903717578961645,7.895063498091573,75.05116971261607
5,I058099,13.0,13.0,0.0,25.0,2.5649493574615367,2.5649493574615367,0.0,3.2188758248682006,74.67414901971128
113,I073691,3.0,10.0,33.0,301.0,1.0986122886681098,2.302585092994046,3.4965075614664802,5.707110264748875,74.19897156584491
14,I042625,10.0,10.0,0.0,228.0,2.302585092994046,2.302585092994046,0.0,5.429345628954441,74.13784365142982
46,I022117,6.0,6.0,13.0,205.0,1.791759469228055,1.791759469228055,2.5649493574615367,5.3230099791384085,74.02743063300717
114,C5222006,3.0,10.0,11.0,1762.0,1.0986122886681098,2.302585092994046,2.3978952727983707,7.474204806496124,73.63696932050942
