,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
0,I072355,46.0,46.0,4.0,461.0,3.828641396489095,3.828641396489095,1.3862943611198906,6.133398042996649,100.0
1,D062462,22.0,22.0,2.0,1358.0,3.091042453358316,3.091042453358316,0.6931471805599453,7.213768308118642,91.49980257699119
3,I830178,11.0,11.0,17.0,2164.0,2.3978952727983707,2.3978952727983707,2.833213344056216,7.679713639966372,88.93330130098374
2,D042855,14.0,14.0,2.0,1404.0,2.6390573296152584,2.6390573296152584,0.6931471805599453,7.247080584585756,86.14826111718777
9,D062193,7.0,7.0,21.0,1930.0,1.9459101490553132,1.9459101490553132,3.044522437723423,7.5652752818989315,83.76565603258936
4,I812424,10.0,10.0,1.0,289.0,2.302585092994046,2.302585092994046,0.0,5.666426688112432,77.97340086052655
5,I834197,9.0,9.0,0.0,468.0,2.1972245773362196,2.1972245773362196,0.0,6.148468295917647,77.19286087528081
6,I839276,9.0,9.0,0.0,450.0,2.1972245773362196,2.1972245773362196,0.0,6.1092475827643655,77.13901061675513
25,I838899,5.0,5.0,7.0,1438.0,1.6094379124341003,1.6094379124341003,1.9459101490553132,7.271008538280992,75.99843486098213
26,I064055,5.0,5.0,7.0,525.0,1.6094379124341003,1.6094379124341003,1.9459101490553132,6.263398262591624,74.5804999472858
14,D058487,6.0,6.0,3.0,444.0,1.791759469228055,1.791759469228055,1.0986122886681098,6.095824562432225,74.52514145227755
27,,5.0,5.0,6.0,589.0,1.6094379124341003,1.6094379124341003,1.791759469228055,6.3784261836515865,74.30542790577975
7,I039535,8.0,8.0,0.0,149.0,2.0794415416798357,2.0794415416798357,0.0,5.003946305945459,73.93669412789353
10,D059680,7.0,7.0,1.0,455.0,1.9459101490553132,1.9459101490553132,0.0,6.12029741895095,73.62225778864564
15,I073941,6.0,6.0,2.0,280.0,1.791759469228055,1.791759469228055,0.6931471805599453,5.634789603169249,72.69435443555065
11,I024789,7.0,7.0,1.0,143.0,1.9459101490553132,1.9459101490553132,0.0,4.962844630259907,71.93729426253756
8,I329402,8.0,8.0,0.0,33.0,2.0794415416798357,2.0794415416798357,0.0,3.4965075614664802,71.74406383431433
12,I307991,7.0,7.0,0.0,84.0,1.9459101490553132,1.9459101490553132,0.0,4.430816798843313,71.14940895237939
13,I811379,7.0,7.0,0.0,69.0,1.9459101490553132,1.9459101490553132,0.0,4.23410650459726,70.85588030298815
16,I024580,6.0,6.0,1.0,285.0,1.791759469228055,1.791759469228055,0.0,5.652489180268651,70.67153566901335
19,I833588,6.0,6.0,0.0,277.0,1.791759469228055,1.791759469228055,0.0,5.6240175061873385,70.62883864356272
17,D051985,6.0,6.0,1.0,197.0,1.791759469228055,1.791759469228055,0.0,5.2832037287379885,70.11572514181235
39,I834319,4.0,4.0,7.0,225.0,1.3862943611198906,1.3862943611198906,1.9459101490553132,5.41610040220442,70.07047822427184
41,I837206,4.0,4.0,3.0,1023.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,6.930494765951626,69.7974750060885
20,I817627,6.0,6.0,0.0,152.0,1.791759469228055,1.791759469228055,0.0,5.0238805208462765,69.72277036588336
18,I051666,6.0,6.0,1.0,149.0,1.791759469228055,1.791759469228055,0.0,5.003946305945459,69.69247216740075
40,I848919,4.0,4.0,6.0,231.0,1.3862943611198906,1.3862943611198906,1.791759469228055,5.442417710521793,69.64280231767815
91,D043523,2.0,2.0,19.0,22285.0,0.6931471805599453,0.6931471805599453,2.9444389791664403,10.011669085380657,69.55624390157479
21,I840764,6.0,6.0,0.0,105.0,1.791759469228055,1.791759469228055,0.0,4.653960350157523,69.15836297793123
22,I300348,6.0,6.0,0.0,77.0,1.791759469228055,1.791759469228055,0.0,4.343805421853684,68.68156811441018
