date,comments,likes,people,posts,relation_corp,relation_org,views
2018-06,1311.0,645.0,660,1316.0,486,91,114798.0
2018-05,1462.0,476.0,734,1468.0,346,140,97593.0
2018-04,1214.0,837.0,674,1215.0,225,70,318605.0
2018-03,1854.0,1303.0,889,1702.0,519,129,163589.0
2018-02,1337.0,773.0,621,1239.0,481,58,135217.0
2018-01,1299.0,577.0,561,1302.0,309,90,73066.0
2017-12,996.0,526.0,477,942.0,270,69,41873.0
2017-11,1189.0,653.0,511,1074.0,274,54,62923.0
2017-10,1104.0,474.0,513,1036.0,258,43,71258.0
2017-09,927.0,476.0,442,864.0,184,44,44209.0
2017-08,852.0,546.0,409,766.0,224,72,50085.0
2017-07,894.0,415.0,425,797.0,173,25,49619.0
2017-06,787.0,340.0,371,690.0,147,46,41570.0
2017-05,898.0,484.0,405,839.0,190,48,61268.0
2017-04,572.0,248.0,297,544.0,104,28,53529.0
2017-03,521.0,205.0,241,488.0,83,6,21796.0
2017-02,409.0,323.0,222,358.0,67,16,36586.0
2017-01,256.0,187.0,131,248.0,58,12,10837.0
2016-12,175.0,92.0,97,162.0,23,16,14373.0
2016-11,213.0,225.0,120,203.0,40,4,15663.0
2016-10,185.0,88.0,106,175.0,66,2,8320.0
2016-09,140.0,203.0,72,122.0,43,0,12854.0
2016-08,91.0,78.0,47,83.0,20,0,3728.0
2016-07,80.0,90.0,45,70.0,30,0,5943.0
2016-06,99.0,104.0,44,86.0,29,0,4844.0
2016-05,189.0,124.0,52,102.0,43,3,6429.0
2016-04,113.0,162.0,39,85.0,24,0,7772.0
2016-03,56.0,31.0,28,45.0,34,0,2091.0
2016-02,56.0,31.0,19,44.0,12,0,2476.0
2016-01,44.0,34.0,17,34.0,19,0,2701.0
2015-12,38.0,63.0,11,28.0,7,0,4237.0
2015-11,27.0,12.0,10,22.0,2,0,424.0
2015-10,15.0,6.0,8,10.0,11,0,357.0
2015-09,10.0,6.0,6,6.0,7,0,182.0
2015-08,41.0,5.0,8,11.0,20,0,691.0
2015-07,5.0,1.0,3,4.0,5,0,265.0
2015-06,3.0,4.0,3,3.0,7,0,48.0
2015-05,6.0,2.0,6,6.0,8,0,69.0
2015-04,1.0,0.0,1,1.0,1,0,6.0
2015-03,2.0,0.0,2,2.0,2,0,19.0
2015-02,1.0,0.0,1,1.0,0,0,3.0
2015-01,0.0,0.0,0,0.0,0,0,0.0
2014-12,0.0,0.0,0,0.0,0,0,0.0
2014-11,0.0,0.0,0,0.0,0,0,0.0
2014-10,0.0,0.0,0,0.0,0,0,0.0
2014-09,0.0,0.0,0,0.0,0,0,0.0
2014-08,0.0,0.0,0,0.0,0,0,0.0
2014-07,0.0,0.0,0,0.0,0,0,0.0
2014-06,2.0,1.0,1,1.0,2,0,24.0
2014-05,0.0,0.0,0,0.0,0,0,0.0
2014-04,0.0,0.0,0,0.0,0,0,0.0
2014-03,1.0,2.0,1,1.0,1,0,45.0
