month,links,nodes,posts
2018-07,846,1817,426
2018-06,826,1780,1079
2018-05,761,1676,1019
2018-04,698,1573,894
2018-03,626,1466,1191
2018-02,524,1310,924
2018-01,438,1160,1007
2017-12,379,1049,683
2017-11,332,955,774
2017-10,289,863,797
2017-09,235,756,627
2017-08,197,659,507
2017-07,163,584,598
2017-06,113,494,385
2017-05,92,419,544
2017-04,67,325,319
2017-03,60,271,321
2017-02,55,210,167
2017-01,48,173,122
2016-12,45,152,85
2016-11,40,136,95
2016-10,31,117,110
2016-09,30,94,67
2016-08,25,76,60
2016-07,23,66,45
2016-06,22,56,59
2016-05,19,46,65
2016-04,11,35,52
2016-03,10,30,27
2016-02,5,23,32
2016-01,2,19,23
2015-12,1,18,27
2015-11,1,13,15
2015-10,1,10,5
2015-09,1,9,1
2015-08,0,8,9
2015-07,0,3,0
2015-06,0,3,1
2015-05,0,2,3
2015-04,0,0,0
2015-03,0,0,0
2015-02,0,0,0
2015-01,0,0,0
2014-12,0,0,0
2014-11,0,0,0
2014-10,0,0,0
2014-09,0,0,0
2014-08,0,0,0
2014-07,0,0,0
2014-06,0,0,0
