date,comments,likes,people,posts,relation_corp,relation_org,views
2018-08-30,16.0,3.0,14,17.0,26,0,7935.0
2018-08-29,17.0,11.0,13,17.0,32,0,2532.0
2018-08-28,6.0,1.0,7,7.0,30,0,2305.0
2018-08-27,6.0,4.0,7,6.0,2,0,3426.0
2018-08-26,0.0,0.0,0,0.0,0,0,0.0
2018-08-25,0.0,0.0,0,0.0,0,0,0.0
2018-08-24,13.0,0.0,9,13.0,0,0,90.0
2018-08-23,3.0,2.0,3,3.0,0,0,138.0
2018-08-22,5.0,0.0,5,5.0,6,0,128.0
2018-08-21,9.0,0.0,9,9.0,0,0,118.0
2018-08-20,5.0,12.0,5,5.0,2,0,3076.0
2018-08-19,0.0,0.0,0,0.0,0,0,0.0
2018-08-18,16.0,1.0,2,16.0,1,0,79.0
2018-08-17,4.0,0.0,4,4.0,0,0,95.0
2018-08-16,9.0,1.0,10,9.0,5,0,154.0
2018-08-15,21.0,3.0,17,21.0,9,0,1152.0
2018-08-14,10.0,2.0,8,10.0,4,0,321.0
2018-08-13,5.0,1.0,4,5.0,0,0,69.0
2018-08-12,3.0,7.0,3,3.0,0,0,336.0
2018-08-11,2.0,0.0,2,2.0,0,0,33.0
2018-08-10,7.0,0.0,8,8.0,0,0,58.0
2018-08-09,16.0,30.0,9,16.0,1,0,2556.0
2018-08-08,8.0,5.0,7,8.0,6,0,2132.0
2018-08-07,10.0,12.0,11,12.0,8,0,3211.0
2018-08-06,10.0,1.0,8,10.0,9,0,840.0
2018-08-05,1.0,0.0,1,1.0,0,0,25.0
2018-08-04,1.0,3.0,1,1.0,0,0,462.0
2018-08-03,6.0,0.0,4,6.0,0,0,87.0
2018-08-02,7.0,1.0,6,7.0,0,0,91.0
2018-08-01,20.0,13.0,11,20.0,5,2,2947.0
2018-07-31,15.0,5.0,11,15.0,1,0,563.0
2018-07-30,18.0,45.0,9,18.0,8,0,9122.0
2018-07-29,0.0,0.0,0,0.0,0,0,0.0
2018-07-28,0.0,0.0,0,0.0,0,0,0.0
2018-07-27,13.0,4.0,12,13.0,1,0,953.0
2018-07-26,10.0,1.0,10,10.0,2,0,205.0
2018-07-25,12.0,0.0,8,12.0,0,0,117.0
