date,comments,likes,people,posts,relation_corp,relation_org,views
2018-07,264.0,121.0,178,264.0,79,10,26633.0
2018-06,298.0,223.0,179,303.0,101,17,21739.0
2018-05,268.0,44.0,168,269.0,47,10,16203.0
2018-04,202.0,48.0,145,206.0,63,4,12996.0
2018-03,216.0,60.0,149,211.0,66,5,11559.0
2018-02,224.0,41.0,145,210.0,62,8,9668.0
2018-01,923.0,1093.0,126,945.0,57,2,16790.0
2017-12,150.0,27.0,112,151.0,26,5,9615.0
2017-11,191.0,37.0,128,194.0,38,3,7385.0
2017-10,194.0,86.0,143,196.0,55,11,15352.0
2017-09,173.0,98.0,119,175.0,58,1,5515.0
2017-08,207.0,64.0,138,206.0,97,6,7937.0
2017-07,179.0,34.0,120,175.0,40,9,5381.0
2017-06,155.0,18.0,103,161.0,29,3,4243.0
2017-05,187.0,50.0,110,189.0,46,5,12808.0
2017-04,118.0,29.0,97,119.0,45,10,4663.0
2017-03,238.0,38.0,116,242.0,48,5,12199.0
2017-02,180.0,14.0,108,182.0,27,5,5394.0
2017-01,187.0,34.0,110,191.0,28,4,6980.0
2016-12,137.0,19.0,85,139.0,27,2,4520.0
2016-11,159.0,48.0,106,163.0,28,3,5514.0
2016-10,155.0,31.0,120,161.0,23,6,5858.0
2016-09,174.0,25.0,83,174.0,22,6,5333.0
2016-08,127.0,21.0,72,127.0,29,0,2655.0
2016-07,152.0,17.0,100,153.0,38,0,5947.0
2016-06,151.0,24.0,84,153.0,18,4,3860.0
2016-05,157.0,36.0,107,162.0,24,4,5820.0
2016-04,156.0,48.0,98,158.0,31,10,13126.0
2016-03,160.0,55.0,87,166.0,33,0,4765.0
2016-02,128.0,59.0,86,130.0,36,0,10090.0
2016-01,150.0,23.0,66,152.0,8,0,4209.0
2015-12,80.0,25.0,63,88.0,21,4,6062.0
2015-11,125.0,40.0,67,123.0,27,2,5296.0
2015-10,136.0,56.0,100,142.0,45,3,7525.0
2015-09,111.0,23.0,62,112.0,46,0,8788.0
2015-08,100.0,16.0,64,104.0,14,2,3380.0
2015-07,96.0,24.0,65,89.0,21,2,6458.0
2015-06,85.0,26.0,66,87.0,36,2,4625.0
2015-05,71.0,7.0,56,73.0,10,3,5660.0
2015-04,74.0,2.0,59,79.0,9,0,2890.0
2015-03,123.0,28.0,81,128.0,23,4,7121.0
2015-02,76.0,18.0,57,78.0,17,0,4578.0
2015-01,75.0,37.0,54,73.0,17,2,5811.0
2014-12,42.0,8.0,33,44.0,25,2,2352.0
2014-11,6.0,4.0,7,7.0,2,0,168.0
2014-10,101.0,61.0,67,103.0,34,6,5990.0
2014-09,95.0,24.0,63,97.0,12,6,3535.0
2014-08,99.0,27.0,62,100.0,19,0,3687.0
2014-07,79.0,45.0,45,82.0,17,4,7817.0
2014-06,48.0,27.0,36,49.0,17,0,3692.0
2014-05,50.0,78.0,40,53.0,24,0,5835.0
2014-04,42.0,13.0,32,44.0,8,0,3274.0
2014-03,61.0,16.0,42,62.0,11,0,4965.0
2014-02,62.0,46.0,44,73.0,20,0,6423.0
2014-01,32.0,17.0,25,39.0,8,0,2394.0
2013-12,17.0,3.0,16,18.0,3,0,965.0
2013-11,23.0,7.0,19,27.0,5,0,1126.0
2013-10,13.0,5.0,11,14.0,4,0,361.0
2013-09,4.0,0.0,4,4.0,0,0,186.0
2013-08,15.0,4.0,11,15.0,9,0,599.0
2013-07,24.0,18.0,18,27.0,7,0,2852.0
2013-06,8.0,8.0,8,8.0,4,0,683.0
2013-05,6.0,6.0,5,6.0,1,0,248.0
2013-04,4.0,1.0,4,4.0,0,0,97.0
2013-03,8.0,5.0,6,8.0,0,0,1014.0
2013-02,4.0,2.0,4,4.0,0,0,534.0
2013-01,6.0,3.0,3,6.0,1,0,629.0
2012-12,1.0,2.0,1,1.0,0,0,25.0
2012-11,10.0,6.0,6,10.0,1,0,379.0
2012-10,0.0,0.0,0,0.0,0,0,0.0
2012-09,0.0,0.0,0,0.0,0,0,0.0
2012-08,0.0,0.0,0,0.0,0,0,0.0
2012-07,0.0,0.0,0,0.0,0,0,0.0
2012-06,1.0,1.0,1,1.0,0,0,21.0
2012-05,0.0,0.0,0,0.0,0,0,0.0
2012-04,1.0,0.0,1,1.0,0,0,13.0
2012-03,0.0,0.0,0,0.0,0,0,0.0
2012-02,1.0,0.0,1,1.0,0,0,22.0
2012-01,0.0,0.0,0,0.0,0,0,0.0
