month,links,nodes,posts
2018-09,693,2328,0
2018-08,693,2328,212
2018-07,665,2278,241
2018-06,646,2215,282
2018-05,602,2137,244
2018-04,586,2071,187
2018-03,556,2011,202
2018-02,535,1962,188
2018-01,511,1901,935
2017-12,491,1845,141
2017-11,468,1799,183
2017-10,447,1759,202
2017-09,419,1698,159
2017-08,395,1637,176
2017-07,380,1584,168
2017-06,352,1530,140
2017-05,336,1490,169
2017-04,314,1453,112
2017-03,301,1414,231
2017-02,288,1371,173
2017-01,274,1333,180
2016-12,259,1285,130
2016-11,248,1247,145
2016-10,239,1205,147
2016-09,227,1154,177
2016-08,209,1118,108
2016-07,196,1083,145
2016-06,178,1030,153
2016-05,168,992,132
2016-04,158,958,146
2016-03,147,913,167
2016-02,138,863,118
2016-01,127,826,146
2015-12,126,797,84
2015-11,112,759,117
2015-10,112,725,135
2015-09,101,675,97
2015-08,93,646,94
2015-07,90,613,76
2015-06,84,579,80
2015-05,77,548,68
2015-04,70,517,66
2015-03,62,489,119
2015-02,55,446,73
2015-01,48,413,66
2014-12,44,384,44
2014-11,41,365,7
2014-10,40,362,100
2014-09,32,318,87
2014-08,28,286,97
2014-07,21,246,78
2014-06,17,223,48
2014-05,12,197,48
2014-04,10,174,51
2014-03,9,156,51
2014-02,3,124,60
2014-01,2,100,37
2013-12,2,84,15
2013-11,2,73,23
2013-10,2,62,13
2013-09,1,54,3
2013-08,1,52,15
2013-07,1,44,25
2013-06,0,31,6
2013-05,0,25,5
2013-04,0,21,3
2013-03,0,18,5
2013-02,0,15,4
2013-01,0,11,6
2012-12,0,9,1
2012-11,0,8,10
2012-10,0,2,0
2012-09,0,2,0
2012-08,0,2,0
2012-07,0,2,0
2012-06,0,2,2
2012-05,0,1,0
2012-04,0,1,1
