date,comments,likes,people,posts,relation_corp,relation_org,views
2018-08-29,24.0,17.0,16,24.0,34,0,5250.0
2018-08-28,27.0,72.0,22,28.0,24,0,23087.0
2018-08-27,24.0,9.0,21,24.0,29,0,1938.0
2018-08-26,1.0,0.0,1,1.0,0,0,2.0
2018-08-25,2.0,24.0,1,2.0,5,0,3899.0
2018-08-24,19.0,2.0,17,19.0,8,0,814.0
2018-08-23,14.0,59.0,9,14.0,23,0,17675.0
2018-08-22,15.0,2.0,15,15.0,7,0,236.0
2018-08-21,21.0,18.0,19,21.0,21,0,14678.0
2018-08-20,14.0,20.0,14,14.0,13,0,6254.0
2018-08-19,0.0,0.0,0,0.0,0,0,0.0
2018-08-18,2.0,3.0,2,2.0,1,0,224.0
2018-08-17,22.0,19.0,14,22.0,10,0,4306.0
2018-08-16,17.0,7.0,14,17.0,9,0,947.0
2018-08-15,8.0,1.0,8,8.0,6,0,592.0
2018-08-14,13.0,36.0,12,13.0,14,0,16446.0
2018-08-13,14.0,30.0,11,14.0,7,0,2634.0
2018-08-12,0.0,0.0,0,0.0,0,0,0.0
2018-08-11,2.0,0.0,2,2.0,0,0,24.0
2018-08-10,27.0,3.0,11,27.0,0,0,130.0
2018-08-09,56.0,29.0,15,56.0,1,0,2817.0
2018-08-08,13.0,6.0,15,13.0,11,0,2262.0
2018-08-07,18.0,35.0,13,18.0,21,0,9138.0
2018-08-06,12.0,3.0,11,12.0,1,0,397.0
2018-08-05,2.0,0.0,2,2.0,0,0,48.0
2018-08-04,5.0,19.0,5,5.0,3,0,7114.0
2018-08-03,11.0,8.0,11,11.0,5,0,740.0
2018-08-02,18.0,7.0,17,18.0,9,0,1679.0
2018-08-01,28.0,20.0,18,28.0,21,2,3168.0
2018-07-31,22.0,8.0,15,22.0,12,0,1185.0
2018-07-30,24.0,20.0,16,24.0,8,0,3951.0
2018-07-29,0.0,0.0,0,0.0,0,0,0.0
2018-07-28,0.0,0.0,0,0.0,0,0,0.0
2018-07-27,29.0,5.0,22,29.0,10,0,1395.0
2018-07-26,10.0,1.0,8,11.0,7,0,1233.0
2018-07-25,17.0,11.0,15,17.0,5,0,765.0
2018-07-24,25.0,5.0,23,24.0,12,0,990.0
2018-07-23,17.0,3.0,13,16.0,2,0,434.0
2018-07-22,2.0,1.0,2,2.0,0,0,120.0
2018-07-21,3.0,0.0,3,3.0,0,0,31.0
2018-07-20,14.0,77.0,12,14.0,14,0,20103.0
2018-07-19,15.0,7.0,12,15.0,4,0,789.0
2018-07-18,20.0,3.0,14,20.0,7,0,983.0
2018-07-17,13.0,15.0,10,13.0,19,0,2773.0
2018-07-16,12.0,0.0,8,12.0,1,0,387.0
2018-07-15,5.0,1.0,3,5.0,0,0,96.0
2018-07-14,0.0,0.0,0,0.0,0,0,0.0
2018-07-13,20.0,1.0,14,20.0,2,0,532.0
2018-07-12,21.0,36.0,15,21.0,9,0,17943.0
2018-07-11,17.0,2.0,13,17.0,12,0,1000.0
2018-07-10,37.0,4.0,21,35.0,8,0,1545.0
2018-07-09,17.0,1.0,8,17.0,0,0,130.0
2018-07-08,1.0,1.0,1,1.0,0,0,10.0
2018-07-07,1.0,0.0,1,1.0,0,0,3.0
2018-07-06,27.0,7.0,18,27.0,1,0,852.0
2018-07-05,24.0,2.0,21,24.0,7,0,629.0
2018-07-04,13.0,2.0,13,13.0,7,0,288.0
2018-07-03,22.0,23.0,18,22.0,9,0,3021.0
2018-07-02,22.0,10.0,18,22.0,6,0,2657.0
2018-07-01,1.0,0.0,1,1.0,0,0,12.0
2018-06-30,3.0,0.0,2,3.0,0,0,11.0
2018-06-29,12.0,4.0,9,12.0,0,0,408.0
2018-06-28,28.0,2.0,16,28.0,3,0,1531.0
