date,comments,likes,people,posts,relation_corp,relation_org,views
2018-07,451.0,246.0,275,448.0,162,18,63857.0
2018-06,542.0,202.0,301,551.0,153,31,45311.0
2018-05,456.0,146.0,266,464.0,114,18,54082.0
2018-04,435.0,83.0,232,435.0,108,14,20190.0
2018-03,407.0,104.0,213,407.0,113,12,16803.0
2018-02,392.0,84.0,213,371.0,131,12,22510.0
2018-01,594.0,125.0,189,637.0,91,16,18430.0
2017-12,383.0,43.0,209,380.0,85,14,15369.0
2017-11,428.0,74.0,225,435.0,71,13,11798.0
2017-10,371.0,92.0,230,372.0,70,14,13510.0
2017-09,304.0,98.0,205,304.0,74,12,25611.0
2017-08,507.0,82.0,217,507.0,125,14,11003.0
2017-07,319.0,66.0,217,322.0,39,16,17698.0
2017-06,399.0,125.0,204,400.0,71,10,12363.0
2017-05,396.0,132.0,230,396.0,143,6,29575.0
2017-04,409.0,141.0,208,413.0,104,11,45741.0
2017-03,442.0,63.0,222,444.0,89,16,12843.0
2017-02,389.0,41.0,206,394.0,105,14,20920.0
2017-01,537.0,62.0,183,542.0,71,10,14996.0
2016-12,263.0,64.0,131,262.0,62,4,8083.0
2016-11,338.0,58.0,156,341.0,71,12,9389.0
2016-10,401.0,40.0,160,408.0,46,6,9285.0
2016-09,283.0,69.0,156,284.0,43,6,17564.0
2016-08,211.0,49.0,117,210.0,35,2,5657.0
2016-07,192.0,37.0,126,194.0,33,4,5588.0
2016-06,374.0,29.0,122,376.0,22,2,8093.0
2016-05,190.0,43.0,125,190.0,42,2,9625.0
2016-04,156.0,48.0,121,158.0,51,6,12570.0
2016-03,360.0,19.0,144,362.0,62,2,19126.0
2016-02,189.0,39.0,113,189.0,57,0,15582.0
2016-01,208.0,20.0,111,211.0,13,0,8511.0
2015-12,189.0,38.0,97,213.0,23,2,8060.0
2015-11,191.0,32.0,112,193.0,44,2,7799.0
2015-10,199.0,37.0,126,206.0,41,2,9629.0
2015-09,167.0,106.0,104,172.0,61,0,26996.0
2015-08,203.0,144.0,105,208.0,25,0,24699.0
2015-07,248.0,72.0,129,253.0,37,2,14509.0
2015-06,192.0,16.0,105,194.0,21,0,6969.0
2015-05,184.0,35.0,109,179.0,19,6,8067.0
2015-04,192.0,20.0,137,200.0,10,2,11086.0
2015-03,254.0,36.0,156,256.0,35,4,16185.0
2015-02,133.0,22.0,102,138.0,25,2,9705.0
2015-01,152.0,34.0,105,154.0,15,0,10239.0
2014-12,96.0,18.0,64,97.0,22,0,7588.0
2014-11,31.0,26.0,24,31.0,12,2,3698.0
2014-10,178.0,145.0,103,187.0,32,2,19250.0
2014-09,233.0,73.0,112,240.0,20,11,13366.0
2014-08,454.0,29.0,128,456.0,17,4,8889.0
2014-07,142.0,56.0,93,146.0,27,0,12130.0
2014-06,116.0,21.0,81,127.0,12,6,8499.0
2014-05,154.0,101.0,91,148.0,36,2,9747.0
2014-04,158.0,47.0,101,165.0,25,2,12372.0
2014-03,175.0,105.0,109,169.0,63,0,18717.0
2014-02,180.0,53.0,95,194.0,22,4,9786.0
2014-01,98.0,176.0,60,109.0,27,0,30283.0
2013-12,70.0,9.0,50,72.0,5,0,3941.0
2013-11,94.0,16.0,57,100.0,12,0,6501.0
2013-10,28.0,6.0,24,30.0,4,0,1608.0
2013-09,36.0,7.0,24,35.0,2,0,1208.0
2013-08,64.0,23.0,37,67.0,16,0,4992.0
2013-07,80.0,37.0,46,88.0,8,0,7028.0
2013-06,24.0,13.0,25,27.0,5,0,5889.0
2013-05,30.0,8.0,24,30.0,7,0,1617.0
2013-04,27.0,3.0,13,28.0,0,0,917.0
2013-03,25.0,19.0,19,27.0,5,0,3786.0
2013-02,22.0,4.0,21,23.0,1,0,1093.0
2013-01,13.0,9.0,9,14.0,2,0,1490.0
2012-12,10.0,5.0,9,10.0,3,0,716.0
2012-11,49.0,16.0,33,57.0,7,0,2434.0
2012-10,0.0,0.0,1,3.0,0,0,28.0
2012-09,3.0,1.0,2,3.0,0,0,105.0
2012-08,2.0,0.0,1,2.0,5,0,79.0
2012-07,10.0,1.0,3,10.0,0,0,251.0
2012-06,8.0,0.0,2,8.0,0,0,258.0
2012-05,7.0,0.0,3,7.0,0,0,64.0
2012-04,7.0,1.0,4,7.0,0,0,143.0
2012-03,1.0,1.0,1,1.0,0,0,13.0
2012-02,1.0,0.0,1,1.0,0,0,8.0
2012-01,0.0,0.0,0,0.0,0,0,0.0
2011-12,0.0,0.0,0,0.0,0,0,0.0
