month,links,nodes,posts
2018-08,1699,4627,441
2018-07,1607,4527,447
2018-06,1544,4409,551
2018-05,1458,4275,464
2018-04,1385,4164,435
2018-03,1341,4066,406
2018-02,1282,3987,370
2018-01,1227,3895,637
2017-12,1178,3829,380
2017-11,1123,3740,432
2017-10,1083,3656,372
2017-09,1035,3559,304
2017-08,986,3469,507
2017-07,938,3378,322
2017-06,886,3277,400
2017-05,842,3190,396
2017-04,781,3083,413
2017-03,721,2992,444
2017-02,683,2893,394
2017-01,631,2794,542
2016-12,597,2693,261
2016-11,572,2620,341
2016-10,533,2541,408
2016-09,511,2455,284
2016-08,479,2371,210
2016-07,453,2299,194
2016-06,421,2229,376
2016-05,401,2168,190
2016-04,381,2102,158
2016-03,355,2030,362
2016-02,337,1949,189
2016-01,316,1888,211
2015-12,300,1830,213
2015-11,286,1774,193
2015-10,271,1716,206
2015-09,260,1654,170
2015-08,244,1599,208
2015-07,231,1539,252
2015-06,217,1461,194
2015-05,210,1408,179
2015-04,196,1344,200
2015-03,182,1259,250
2015-02,155,1158,138
2015-01,146,1090,154
2014-12,136,1025,97
2014-11,130,983,31
2014-10,126,968,187
2014-09,115,904,240
2014-08,101,831,456
2014-07,85,738,146
2014-06,78,683,127
2014-05,63,630,148
2014-04,53,570,164
2014-03,45,505,169
2014-02,29,421,194
2014-01,22,344,109
2013-12,20,300,72
2013-11,18,270,100
2013-10,13,225,30
2013-09,13,206,35
2013-08,9,193,67
2013-07,8,168,88
2013-06,8,135,27
2013-05,8,117,30
2013-04,7,101,28
2013-03,6,90,27
2013-02,3,74,23
2013-01,2,60,14
2012-12,2,52,10
2012-11,2,44,57
2012-10,2,13,3
2012-09,2,12,3
2012-08,2,10,2
2012-07,1,9,10
2012-06,0,8,8
2012-05,0,7,7
2012-04,0,6,7
2012-03,0,2,1
2012-02,0,1,1
2012-01,0,0,0
2011-12,0,0,0
