date,comments,likes,people,posts,relation_corp,relation_org,views
2018-06,488.0,576.0,316,497.0,263,24,93378.0
2018-05,428.0,174.0,260,433.0,96,16,18199.0
2018-04,268.0,127.0,188,277.0,62,2,13730.0
2018-03,323.0,242.0,197,302.0,86,9,226336.0
2018-02,285.0,286.0,178,251.0,102,12,40926.0
2018-01,230.0,159.0,142,214.0,72,11,13188.0
2017-12,215.0,124.0,124,202.0,48,6,10561.0
2017-11,186.0,141.0,117,165.0,46,10,9952.0
2017-10,201.0,95.0,127,184.0,31,6,13754.0
2017-09,182.0,92.0,113,173.0,33,8,13238.0
2017-08,178.0,126.0,106,146.0,68,9,15817.0
2017-07,156.0,72.0,103,140.0,15,8,6863.0
2017-06,141.0,112.0,82,122.0,29,6,11104.0
2017-05,142.0,93.0,96,130.0,30,2,7376.0
2017-04,103.0,26.0,74,93.0,10,0,2847.0
2017-03,103.0,53.0,61,95.0,20,6,2344.0
2017-02,87.0,71.0,54,70.0,19,8,3430.0
2017-01,55.0,57.0,31,44.0,19,0,2809.0
2016-12,25.0,36.0,16,20.0,6,0,1176.0
2016-11,33.0,69.0,23,28.0,5,0,5488.0
2016-10,33.0,25.0,24,30.0,6,0,835.0
2016-09,20.0,19.0,10,18.0,3,0,584.0
2016-08,25.0,81.0,13,17.0,7,0,4017.0
2016-07,24.0,5.0,13,14.0,14,0,620.0
2016-06,19.0,2.0,16,17.0,1,0,586.0
2016-05,15.0,14.0,7,7.0,4,0,311.0
2016-04,5.0,3.0,5,5.0,0,0,237.0
2016-03,3.0,0.0,3,3.0,0,0,138.0
2016-02,7.0,9.0,3,4.0,4,0,418.0
2016-01,2.0,0.0,2,2.0,1,0,7.0
2015-12,0.0,0.0,0,0.0,0,0,0.0
2015-11,4.0,0.0,3,4.0,1,0,77.0
2015-10,3.0,0.0,3,3.0,0,0,80.0
2015-09,1.0,0.0,1,1.0,0,0,172.0
2015-08,0.0,0.0,0,0.0,0,0,0.0
2015-07,3.0,0.0,3,3.0,2,0,343.0
2015-06,0.0,0.0,0,0.0,0,0,0.0
2015-05,0.0,0.0,0,0.0,0,0,0.0
2015-04,2.0,0.0,2,2.0,0,0,29.0
2015-03,1.0,6.0,1,1.0,7,0,667.0
2015-02,0.0,0.0,0,0.0,0,0,0.0
2015-01,3.0,4.0,2,2.0,5,0,266.0
2014-12,1.0,0.0,1,1.0,0,0,26.0
2014-11,0.0,0.0,0,0.0,0,0,0.0
2014-10,2.0,0.0,2,2.0,0,0,125.0
2014-09,4.0,1.0,3,4.0,0,0,135.0
2014-08,2.0,0.0,2,2.0,0,0,153.0
2014-07,0.0,0.0,0,0.0,0,0,0.0
2014-06,0.0,0.0,0,0.0,0,0,0.0
2014-05,0.0,0.0,0,0.0,0,0,0.0
2014-04,0.0,0.0,0,0.0,0,0,0.0
2014-03,0.0,0.0,0,0.0,0,0,0.0
2014-02,0.0,0.0,0,0.0,0,0,0.0
2014-01,0.0,0.0,0,0.0,0,0,0.0
2013-12,1.0,0.0,1,1.0,0,0,37.0
2013-11,0.0,0.0,0,0.0,0,0,0.0
2013-10,0.0,0.0,0,0.0,0,0,0.0
2013-09,1.0,0.0,1,1.0,0,0,40.0
2013-08,0.0,0.0,0,0.0,0,0,0.0
2013-07,0.0,0.0,0,0.0,0,0,0.0
2013-06,0.0,0.0,0,0.0,0,0,0.0
2013-05,0.0,0.0,0,0.0,0,0,0.0
2013-04,1.0,0.0,1,1.0,0,0,15.0
