month,links,nodes,posts
2018-07,126,607,111
2018-06,113,584,321
2018-05,75,499,254
2018-04,68,446,156
2018-03,66,409,172
2018-02,57,367,162
2018-01,41,320,97
2017-12,37,297,118
2017-11,31,261,75
2017-10,25,236,71
2017-09,24,217,81
2017-08,22,199,80
2017-07,15,172,56
2017-06,13,153,78
2017-05,11,124,43
2017-04,11,105,23
2017-03,10,95,49
2017-02,5,77,28
2017-01,2,61,24
2016-12,2,49,11
2016-11,2,44,8
2016-10,2,41,11
2016-09,2,37,13
2016-08,2,34,15
2016-07,0,27,7
2016-06,0,21,4
2016-05,0,18,4
2016-04,0,14,2
2016-03,0,12,1
2016-02,0,11,0
2016-01,0,11,2
2015-12,0,9,0
2015-11,0,9,4
2015-10,0,6,1
2015-09,0,5,0
2015-08,0,5,0
2015-07,0,5,2
2015-06,0,3,0
2015-05,0,3,0
2015-04,0,3,0
2015-03,0,3,0
2015-02,0,3,0
2015-01,0,3,0
2014-12,0,3,0
2014-11,0,3,0
2014-10,0,3,1
2014-09,0,3,3
2014-08,0,2,2
2014-07,0,0,0
2014-06,0,0,0
2014-05,0,0,0
2014-04,0,0,0
2014-03,0,0,0
2014-02,0,0,0
2014-01,0,0,0
2013-12,0,0,0
2013-11,0,0,0
2013-10,0,0,0
2013-09,0,0,0
2013-08,0,0,0
2013-07,0,0,0
2013-06,0,0,0
2013-05,0,0,0
