date,comments,likes,people,posts,relation_corp,relation_org,views
2018-06-13,746.0,510.0,505,741.0,796,38,238282.0
2018-06-12,727.0,482.0,493,722.0,748,36,225079.0
2018-06-11,701.0,442.0,475,696.0,686,36,192460.0
2018-06-10,652.0,387.0,443,644.0,640,30,168333.0
2018-06-09,652.0,387.0,443,644.0,640,30,168333.0
2018-06-08,647.0,387.0,441,639.0,639,30,167017.0
2018-06-07,596.0,363.0,406,595.0,526,28,145037.0
2018-06-06,537.0,310.0,370,536.0,412,20,114529.0
2018-06-05,478.0,271.0,325,474.0,358,18,94125.0
2018-06-04,381.0,235.0,252,378.0,281,16,82337.0
2018-06-03,240.0,183.0,166,236.0,177,8,58284.0
2018-06-02,225.0,179.0,159,221.0,176,8,57636.0
2018-06-01,201.0,153.0,146,199.0,166,6,49918.0
2018-05-31,84.0,108.0,67,81.0,72,2,37336.0
2018-05-30,2306.0,988.0,1255,2323.0,1154,184,325581.0
2018-05-29,2201.0,936.0,1207,2217.0,1078,178,300104.0
2018-05-28,2086.0,816.0,1154,2102.0,970,154,280170.0
2018-05-27,2020.0,812.0,1121,2036.0,928,150,275252.0
2018-05-26,2013.0,812.0,1118,2029.0,928,150,275093.0
2018-05-25,2001.0,777.0,1113,2017.0,919,148,269376.0
2018-05-24,1922.0,746.0,1069,1938.0,894,138,264466.0
2018-05-23,1822.0,667.0,1014,1843.0,815,118,217339.0
2018-05-22,1694.0,606.0,948,1714.0,746,99,187539.0
2018-05-21,1606.0,588.0,907,1626.0,712,91,183582.0
2018-05-20,1526.0,574.0,878,1546.0,695,85,180313.0
2018-05-19,1512.0,574.0,875,1532.0,694,85,180188.0
2018-05-18,1503.0,571.0,872,1522.0,694,85,179964.0
2018-05-17,1395.0,535.0,830,1414.0,661,79,174048.0
2018-05-16,1271.0,457.0,772,1288.0,558,71,138050.0
2018-05-15,1170.0,433.0,710,1187.0,521,59,132066.0
2018-05-14,1059.0,369.0,640,1069.0,455,55,116589.0
2018-05-13,958.0,298.0,580,968.0,402,43,103619.0
2018-05-12,949.0,298.0,577,959.0,402,43,103530.0
2018-05-11,944.0,298.0,573,954.0,402,43,103489.0
2018-05-10,873.0,263.0,529,883.0,371,43,93573.0
2018-05-09,795.0,245.0,486,805.0,365,43,90722.0
2018-05-08,671.0,225.0,424,675.0,333,39,86657.0
2018-05-07,528.0,179.0,361,533.0,297,26,64461.0
2018-05-06,445.0,143.0,298,449.0,257,16,48884.0
2018-05-05,434.0,140.0,294,438.0,257,16,48629.0
2018-05-04,420.0,139.0,286,424.0,254,16,47994.0
2018-05-03,340.0,108.0,240,343.0,209,16,32147.0
2018-05-02,228.0,70.0,166,228.0,113,6,20130.0
2018-05-01,131.0,31.0,98,130.0,81,0,14157.0
2018-04-30,93.0,24.0,67,91.0,63,0,9921.0
2018-04-29,2417.0,706.0,1150,2415.0,745,156,168633.0
2018-04-28,2411.0,706.0,1147,2409.0,745,156,168471.0
2018-04-27,2397.0,699.0,1141,2395.0,741,156,168108.0
2018-04-26,2274.0,584.0,1078,2268.0,688,132,138405.0
2018-04-25,2149.0,569.0,1033,2141.0,647,120,132440.0
2018-04-24,1958.0,558.0,971,1954.0,587,107,126035.0
2018-04-23,1798.0,521.0,916,1792.0,550,95,116912.0
2018-04-22,1665.0,503.0,862,1657.0,527,90,113292.0
2018-04-21,1659.0,501.0,859,1651.0,526,90,113093.0
2018-04-20,1642.0,498.0,854,1634.0,525,90,112869.0
2018-04-19,1546.0,474.0,810,1537.0,483,85,109849.0
2018-04-18,1435.0,444.0,759,1434.0,442,77,98449.0
2018-04-17,1270.0,427.0,702,1274.0,414,71,93866.0
2018-04-16,1154.0,408.0,644,1156.0,387,67,89749.0
2018-04-15,1061.0,398.0,584,1063.0,361,58,85494.0
2018-04-14,1051.0,390.0,579,1053.0,359,56,85344.0
2018-04-13,1042.0,389.0,573,1043.0,357,56,85149.0
2018-04-12,960.0,292.0,531,961.0,324,53,73461.0
2018-04-11,857.0,259.0,476,859.0,271,47,66982.0
2018-04-10,761.0,239.0,421,761.0,236,33,63372.0
2018-04-09,643.0,214.0,366,642.0,206,25,49493.0
2018-04-08,469.0,131.0,308,465.0,161,25,28762.0
2018-04-07,455.0,129.0,298,450.0,160,23,28026.0
2018-04-06,446.0,123.0,289,441.0,159,23,27056.0
2018-04-05,346.0,99.0,221,343.0,125,15,18835.0
2018-04-04,248.0,62.0,167,249.0,66,13,11117.0
2018-04-03,144.0,30.0,104,143.0,39,3,7027.0
2018-04-02,59.0,11.0,43,58.0,13,0,2069.0
2018-04-01,13.0,1.0,12,13.0,2,0,240.0
2018-03-31,4.0,0.0,4,4.0,0,0,169.0
2018-03-30,2463.0,564.0,1215,2497.0,764,205,145275.0
2018-03-29,2422.0,555.0,1194,2456.0,734,191,143580.0
2018-03-28,2318.0,542.0,1146,2353.0,701,174,140645.0
2018-03-27,2208.0,517.0,1090,2239.0,638,148,119595.0
2018-03-26,2117.0,510.0,1043,2140.0,609,132,114731.0
2018-03-25,2002.0,491.0,994,2024.0,573,106,108338.0
2018-03-24,1993.0,491.0,989,2015.0,565,106,108111.0
2018-03-23,1988.0,491.0,986,2010.0,564,104,107949.0
2018-03-22,1901.0,484.0,954,1921.0,549,96,106079.0
2018-03-21,1803.0,455.0,913,1821.0,523,92,98160.0
2018-03-20,1704.0,388.0,860,1719.0,480,80,88554.0
2018-03-19,1589.0,380.0,805,1599.0,432,74,79504.0
2018-03-18,1505.0,362.0,765,1514.0,413,68,74089.0
2018-03-17,1498.0,362.0,763,1507.0,413,68,73881.0
2018-03-16,1483.0,361.0,751,1491.0,413,68,73693.0
2018-03-15,1392.0,350.0,692,1397.0,373,62,67569.0
2018-03-14,1139.0,333.0,639,1138.0,356,53,63279.0
2018-03-13,1056.0,305.0,600,1054.0,305,43,53553.0
2018-03-12,958.0,280.0,543,963.0,283,33,50287.0
2018-03-11,828.0,258.0,478,835.0,235,26,41489.0
2018-03-10,821.0,258.0,473,825.0,235,24,41420.0
2018-03-09,817.0,258.0,472,821.0,235,24,41363.0
2018-03-08,713.0,250.0,417,716.0,199,22,37438.0
2018-03-07,592.0,236.0,364,593.0,165,20,31393.0
2018-03-06,510.0,221.0,319,510.0,144,14,26576.0
2018-03-05,422.0,129.0,258,419.0,122,10,17496.0
2018-03-04,340.0,120.0,201,336.0,102,6,14901.0
2018-03-03,324.0,112.0,193,320.0,95,6,14520.0
2018-03-02,314.0,112.0,188,311.0,93,6,14304.0
2018-03-01,231.0,51.0,137,227.0,69,4,5578.0
2018-02-28,103.0,20.0,73,105.0,31,2,3102.0
2018-02-27,1950.0,455.0,1015,1967.0,774,135,136348.0
2018-02-26,1845.0,436.0,977,1858.0,741,123,128923.0
2018-02-25,1761.0,416.0,946,1777.0,711,117,124423.0
2018-02-24,1744.0,413.0,941,1760.0,709,117,124038.0
2018-02-23,1732.0,411.0,935,1748.0,709,111,123900.0
2018-02-22,1639.0,397.0,884,1652.0,669,108,117293.0
2018-02-21,1562.0,318.0,845,1575.0,562,100,87721.0
2018-02-20,1482.0,299.0,803,1492.0,535,92,80053.0
2018-02-19,1382.0,283.0,757,1394.0,491,84,77188.0
2018-02-18,1314.0,278.0,723,1323.0,464,78,74490.0
2018-02-17,1307.0,278.0,720,1316.0,464,78,74374.0
2018-02-16,1303.0,275.0,718,1312.0,464,78,74179.0
2018-02-15,1225.0,253.0,685,1230.0,453,70,70765.0
2018-02-14,1126.0,236.0,637,1130.0,422,60,57476.0
2018-02-13,988.0,226.0,581,991.0,364,53,53295.0
