date,comments,likes,people,posts,relation_corp,relation_org,views
2018-05,2297.0,1072.0,1255,2313.0,1163,188,352996.0
2018-04,2506.0,730.0,1194,2502.0,808,160,178385.0
2018-03,2364.0,544.0,1172,2396.0,733,189,142342.0
2018-02,1953.0,461.0,1027,1973.0,732,131,136823.0
2018-01,2890.0,391.0,877,2968.0,786,136,93413.0
2017-12,1611.0,394.0,833,1624.0,540,151,80382.0
2017-11,2172.0,408.0,937,2165.0,505,169,87401.0
2017-10,1893.0,339.0,1000,1933.0,510,148,86150.0
2017-09,1968.0,402.0,916,1985.0,575,110,89036.0
2017-08,2198.0,411.0,924,2222.0,609,140,103987.0
2017-07,2095.0,409.0,996,2104.0,512,186,81308.0
2017-06,2220.0,330.0,903,2238.0,475,110,80395.0
2017-05,1821.0,290.0,957,1807.0,516,149,71554.0
2017-04,1984.0,252.0,903,1979.0,421,127,60518.0
2017-03,3282.0,306.0,951,3291.0,523,130,84229.0
2017-02,2308.0,388.0,904,2317.0,476,111,91091.0
2017-01,1970.0,292.0,790,1995.0,400,114,94803.0
2016-12,1510.0,317.0,698,1515.0,429,92,57889.0
2016-11,1882.0,393.0,841,1912.0,418,97,77429.0
2016-10,1604.0,254.0,776,1644.0,382,89,58827.0
2016-09,1670.0,317.0,731,1687.0,353,85,108473.0
2016-08,1325.0,360.0,668,1341.0,410,66,95395.0
2016-07,1469.0,345.0,727,1492.0,422,110,55765.0
2016-06,1552.0,350.0,739,1549.0,408,90,69237.0
2016-05,1330.0,287.0,683,1331.0,298,71,62170.0
2016-04,1618.0,374.0,779,1644.0,382,85,84247.0
2016-03,2039.0,335.0,754,2068.0,356,89,80102.0
2016-02,1474.0,314.0,712,1488.0,358,110,87762.0
2016-01,1386.0,266.0,574,1412.0,260,69,67272.0
2015-12,1484.0,254.0,551,1586.0,304,53,57270.0
2015-11,1455.0,385.0,566,1470.0,388,68,80330.0
2015-10,1583.0,438.0,686,1630.0,404,98,125991.0
2015-09,1465.0,791.0,661,1487.0,477,46,137033.0
2015-08,1449.0,369.0,572,1443.0,324,60,78131.0
2015-07,1494.0,363.0,680,1496.0,465,95,91944.0
2015-06,1245.0,322.0,542,1239.0,361,40,68616.0
2015-05,1040.0,360.0,523,1062.0,277,57,61775.0
2015-04,1289.0,267.0,592,1313.0,269,37,83344.0
2015-03,1329.0,302.0,647,1367.0,345,79,81995.0
2015-02,1126.0,239.0,496,1145.0,300,50,73269.0
2015-01,839.0,181.0,409,840.0,222,32,48663.0
2014-12,682.0,208.0,347,698.0,265,12,37005.0
2014-11,244.0,186.0,171,240.0,202,12,23113.0
2014-10,944.0,276.0,488,976.0,325,31,58613.0
2014-09,1001.0,211.0,460,1030.0,242,60,44718.0
2014-08,2075.0,253.0,482,2093.0,338,33,52841.0
2014-07,815.0,260.0,420,853.0,249,30,52168.0
2014-06,763.0,316.0,387,777.0,268,18,52425.0
2014-05,777.0,373.0,390,796.0,187,24,60057.0
2014-04,844.0,282.0,397,878.0,197,28,59071.0
2014-03,876.0,294.0,394,891.0,274,33,68690.0
2014-02,679.0,213.0,303,712.0,168,23,35678.0
2014-01,425.0,317.0,234,464.0,207,10,53046.0
2013-12,285.0,88.0,166,288.0,105,10,18508.0
2013-11,460.0,97.0,202,493.0,132,10,20246.0
2013-10,159.0,53.0,117,168.0,55,2,8985.0
2013-09,193.0,49.0,97,205.0,52,4,9542.0
2013-08,150.0,53.0,87,160.0,41,6,10209.0
2013-07,178.0,60.0,97,187.0,30,0,11484.0
2013-06,146.0,81.0,67,146.0,42,2,9134.0
2013-05,101.0,52.0,64,103.0,31,2,5616.0
2013-04,102.0,21.0,40,103.0,16,0,4947.0
2013-03,69.0,40.0,39,68.0,25,0,6807.0
2013-02,63.0,21.0,43,69.0,4,2,4862.0
2013-01,37.0,13.0,26,37.0,1,0,2152.0
2012-12,19.0,6.0,11,20.0,2,0,978.0
2012-11,59.0,41.0,42,62.0,9,0,2977.0
2012-10,3.0,3.0,5,5.0,0,0,325.0
2012-09,2.0,1.0,2,2.0,0,0,31.0
2012-08,0.0,0.0,0,0.0,0,0,0.0
2012-07,3.0,0.0,2,3.0,0,0,59.0
2012-06,3.0,12.0,3,3.0,3,0,215.0
2012-05,1.0,0.0,1,1.0,0,0,23.0
2012-04,7.0,0.0,1,7.0,0,0,51.0
2012-03,0.0,0.0,0,0.0,0,0,0.0
2012-02,2.0,0.0,1,2.0,0,0,78.0
2012-01,0.0,0.0,0,0.0,0,0,0.0
2011-12,0.0,0.0,0,0.0,0,0,0.0
2011-11,4.0,3.0,3,4.0,0,0,172.0
2011-10,1.0,0.0,1,1.0,0,0,14.0
2011-09,3.0,0.0,2,3.0,0,0,27.0
2011-08,1.0,0.0,1,1.0,0,0,20.0
2011-07,0.0,0.0,0,0.0,0,0,0.0
2011-06,0.0,0.0,0,0.0,0,0,0.0
2011-05,0.0,0.0,0,0.0,0,0,0.0
2011-04,1.0,0.0,1,1.0,0,0,5.0
2011-03,1.0,0.0,1,1.0,0,0,14.0
2011-02,0.0,0.0,0,0.0,0,0,0.0
2011-01,0.0,0.0,0,0.0,0,0,0.0
2010-12,0.0,0.0,0,0.0,0,0,0.0
2010-11,0.0,0.0,0,0.0,0,0,0.0
2010-10,1.0,0.0,1,1.0,0,0,7.0
2010-09,0.0,0.0,0,0.0,0,0,0.0
2010-08,0.0,0.0,0,0.0,0,0,0.0
2010-07,0.0,0.0,0,0.0,0,0,0.0
2010-06,0.0,0.0,0,0.0,0,0,0.0
2010-05,0.0,0.0,0,0.0,0,0,0.0
2010-04,0.0,0.0,0,0.0,0,0,0.0
