month,links,nodes,posts
2018-06,8734,9649,581
2018-05,8600,9572,1869
2018-04,8254,9366,2167
2018-03,7970,9154,2037
2018-02,7681,8932,1659
2018-01,7373,8731,2468
2017-12,7140,8552,1386
2017-11,6916,8393,1710
2017-10,6712,8215,1671
2017-09,6472,8017,1751
2017-08,6260,7839,1935
2017-07,6026,7651,1809
2017-06,5804,7428,1749
2017-05,5587,7245,1607
2017-04,5393,7081,1723
2017-03,5170,6896,2997
2017-02,4966,6695,2080
2017-01,4740,6487,1777
2016-12,4554,6314,1359
2016-11,4372,6177,1782
2016-10,4184,5979,1512
2016-09,4000,5794,1558
2016-08,3834,5633,1173
2016-07,3653,5482,1362
2016-06,3466,5311,1399
2016-05,3144,5130,1224
2016-04,2988,4964,1466
2016-03,2828,4746,1964
2016-02,2651,4536,1252
2016-01,2500,4391,1316
2015-12,2352,4235,1454
2015-11,2224,4079,1342
2015-10,2090,3926,1496
2015-09,1917,3745,1353
2015-08,1734,3564,1327
2015-07,1611,3396,1312
2015-06,1457,3191,1093
2015-05,1357,3049,963
2015-04,1238,2903,1165
2015-03,1101,2717,1211
2015-02,959,2501,1053
2015-01,877,2345,733
2014-12,811,2217,613
2014-11,748,2097,217
2014-10,712,2037,832
2014-09,612,1886,926
2014-08,533,1737,1959
2014-07,441,1541,752
2014-06,381,1405,647
2014-05,314,1289,683
2014-04,260,1132,774
2014-03,214,970,774
2014-02,156,802,602
2014-01,109,659,389
2013-12,79,542,251
2013-11,62,463,420
2013-10,44,362,151
2013-09,37,298,188
2013-08,27,245,133
2013-07,20,203,149
2013-06,18,156,119
2013-05,12,130,81
2013-04,5,102,81
2013-03,4,86,61
2013-02,1,66,55
2013-01,0,44,16
2012-12,0,35,15
2012-11,0,30,34
2012-10,0,9,4
2012-09,0,6,1
2012-08,0,6,0
2012-07,0,6,2
2012-06,0,6,2
2012-05,0,5,1
2012-04,0,4,7
2012-03,0,4,0
2012-02,0,4,2
2012-01,0,4,0
2011-12,0,4,0
2011-11,0,4,8
2011-10,0,1,0
2011-09,0,1,1
2011-08,0,0,0
2011-07,0,0,0
2011-06,0,0,0
2011-05,0,0,0
2011-04,0,0,0
2011-03,0,0,0
2011-02,0,0,0
2011-01,0,0,0
2010-12,0,0,0
2010-11,0,0,0
2010-10,0,0,0
2010-09,0,0,0
2010-08,0,0,0
2010-07,0,0,0
2010-06,0,0,0
2010-05,0,0,0
2010-04,0,0,0
