date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10-13,5.0,156.0,5,8.0,11,0,23694.0
2018-10-12,62.0,69.0,49,64.0,92,0,42632.0
2018-10-11,83.0,38.0,51,84.0,56,0,17779.0
2018-10-10,44.0,63.0,42,45.0,46,2,13566.0
2018-10-09,59.0,55.0,55,59.0,57,2,27773.0
2018-10-08,53.0,68.0,39,54.0,73,0,16307.0
2018-10-07,3.0,0.0,1,3.0,0,0,3.0
2018-10-06,7.0,2.0,5,7.0,4,0,1036.0
2018-10-05,28.0,42.0,23,30.0,4,0,9428.0
2018-10-04,53.0,5.0,44,54.0,4,0,1870.0
2018-10-03,53.0,69.0,41,56.0,41,0,14989.0
2018-10-02,40.0,45.0,35,40.0,45,0,12912.0
2018-10-01,42.0,7.0,35,43.0,41,0,2252.0
2018-09-30,2.0,0.0,2,2.0,0,0,8.0
2018-09-29,5.0,4.0,5,5.0,5,0,222.0
2018-09-28,48.0,11.0,34,48.0,10,0,2071.0
2018-09-27,52.0,6.0,33,54.0,28,0,1471.0
2018-09-26,56.0,17.0,48,58.0,32,0,3254.0
2018-09-25,40.0,20.0,36,41.0,37,0,5402.0
2018-09-24,52.0,16.0,42,52.0,18,2,3839.0
2018-09-23,2.0,0.0,2,2.0,0,0,175.0
2018-09-22,8.0,0.0,8,9.0,0,0,163.0
2018-09-21,43.0,2.0,29,44.0,20,0,1425.0
2018-09-20,45.0,7.0,30,46.0,42,0,6776.0
2018-09-19,41.0,83.0,33,42.0,49,0,18668.0
2018-09-18,33.0,3.0,32,33.0,11,0,573.0
2018-09-17,34.0,23.0,31,35.0,27,0,4030.0
2018-09-16,1.0,0.0,2,2.0,0,0,14.0
2018-09-15,4.0,1.0,4,4.0,0,0,36.0
2018-09-14,53.0,4.0,36,51.0,5,0,755.0
2018-09-13,40.0,5.0,35,41.0,13,0,1600.0
2018-09-12,49.0,26.0,32,50.0,34,0,10960.0
2018-09-11,56.0,11.0,39,56.0,5,0,2907.0
2018-09-10,41.0,4.0,33,42.0,22,2,1228.0
2018-09-09,2.0,0.0,1,2.0,0,0,12.0
2018-09-08,3.0,1.0,3,3.0,0,0,96.0
2018-09-07,35.0,6.0,31,35.0,17,0,2646.0
2018-09-06,37.0,14.0,32,37.0,17,0,1739.0
2018-09-05,53.0,8.0,41,54.0,15,0,1039.0
2018-09-04,39.0,24.0,36,41.0,18,0,6610.0
2018-09-03,26.0,0.0,19,26.0,10,0,868.0
2018-09-02,1.0,0.0,1,1.0,0,0,5.0
2018-09-01,3.0,2.0,3,3.0,0,0,132.0
2018-08-31,50.0,41.0,42,51.0,28,0,5889.0
2018-08-30,25.0,6.0,22,27.0,14,0,1431.0
2018-08-29,26.0,3.0,22,27.0,13,0,1212.0
2018-08-28,49.0,10.0,39,50.0,21,0,3767.0
2018-08-27,40.0,21.0,34,41.0,23,2,6141.0
2018-08-26,2.0,1.0,2,2.0,1,0,31.0
2018-08-25,1.0,1.0,1,1.0,0,0,24.0
2018-08-24,38.0,10.0,33,39.0,14,0,1632.0
2018-08-23,25.0,0.0,21,27.0,1,0,361.0
2018-08-22,36.0,7.0,31,38.0,8,0,6083.0
2018-08-21,41.0,6.0,30,40.0,11,0,526.0
2018-08-20,67.0,5.0,29,67.0,106,4,6029.0
2018-08-19,1.0,0.0,1,1.0,1,0,155.0
2018-08-18,3.0,2.0,3,3.0,1,0,197.0
2018-08-17,50.0,42.0,35,49.0,22,0,13752.0
2018-08-16,65.0,8.0,33,65.0,6,0,865.0
2018-08-15,39.0,2.0,30,40.0,3,0,767.0
2018-08-14,34.0,9.0,30,34.0,9,0,1535.0
2018-08-13,36.0,30.0,24,36.0,23,0,3604.0
2018-08-12,1.0,0.0,1,1.0,0,0,53.0
2018-08-11,6.0,0.0,6,7.0,0,0,98.0
2018-08-10,80.0,3.0,26,80.0,1,0,875.0
2018-08-09,47.0,7.0,32,48.0,18,0,1827.0
2018-08-08,38.0,5.0,32,39.0,22,0,1475.0
2018-08-07,47.0,12.0,37,44.0,40,0,6663.0
2018-08-06,42.0,38.0,35,43.0,19,0,8797.0
2018-08-05,3.0,0.0,3,3.0,1,0,223.0
2018-08-04,2.0,0.0,2,2.0,9,0,216.0
2018-08-03,16.0,7.0,15,17.0,2,0,1150.0
2018-08-02,38.0,5.0,32,41.0,22,0,1740.0
2018-08-01,34.0,7.0,33,37.0,23,0,1276.0
2018-07-31,39.0,6.0,37,41.0,8,0,1301.0
2018-07-30,35.0,27.0,29,35.0,16,0,5741.0
2018-07-29,0.0,0.0,0,0.0,0,0,0.0
2018-07-28,0.0,0.0,1,1.0,0,0,3.0
