month,links,nodes,posts
2018-10,1452,2958,438
2018-09,1378,2878,719
2018-08,1271,2717,822
2018-07,1165,2566,935
2018-06,1034,2332,1098
2018-05,875,2088,1472
2018-04,696,1777,869
2018-03,594,1552,870
2018-02,484,1293,767
2018-01,396,1066,425
2017-12,328,927,389
2017-11,261,802,444
2017-10,191,664,424
2017-09,143,554,297
2017-08,104,447,268
2017-07,78,371,189
2017-06,59,282,156
2017-05,36,222,146
2017-04,24,162,69
2017-03,16,128,88
2017-02,12,87,45
2017-01,4,65,19
2016-12,4,55,9
2016-11,4,48,7
2016-10,4,41,15
2016-09,2,29,6
2016-08,2,25,0
2016-07,2,25,4
2016-06,2,22,4
2016-05,1,20,3
2016-04,1,17,4
2016-03,1,15,0
2016-02,1,15,1
2016-01,1,14,0
2015-12,1,14,1
2015-11,1,13,1
2015-10,1,12,1
2015-09,1,11,0
2015-08,1,11,0
2015-07,1,11,0
2015-06,1,11,9
2015-05,1,10,0
2015-04,1,10,1
2015-03,1,9,0
2015-02,1,9,0
2015-01,1,9,2
2014-12,1,7,1
2014-11,1,7,2
2014-10,1,7,7
2014-09,1,6,6
2014-08,1,5,7
2014-07,1,4,6
2014-06,1,3,29
