date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10-12,488.0,215.0,264,492.0,179,3,71117.0
2018-10-11,447.0,207.0,236,450.0,165,2,59241.0
2018-10-10,407.0,203.0,211,410.0,139,2,57153.0
2018-10-09,374.0,139.0,181,376.0,104,0,41045.0
2018-10-08,345.0,128.0,154,346.0,62,0,39383.0
2018-10-07,289.0,109.0,126,290.0,43,0,35221.0
2018-10-06,289.0,109.0,126,290.0,43,0,35221.0
2018-10-05,283.0,109.0,123,284.0,43,0,35201.0
2018-10-04,254.0,81.0,100,255.0,41,0,28172.0
2018-10-03,212.0,69.0,78,213.0,32,0,20034.0
2018-10-02,185.0,62.0,60,186.0,29,0,18692.0
2018-10-01,157.0,5.0,36,158.0,12,0,1219.0
2018-09-30,0.0,0.0,0,0.0,0,0,0.0
2018-09-29,703.0,722.0,427,707.0,204,34,99620.0
2018-09-28,700.0,721.0,423,704.0,203,30,98764.0
2018-09-27,666.0,721.0,404,668.0,184,24,97007.0
2018-09-26,634.0,714.0,387,636.0,164,22,94048.0
2018-09-25,607.0,711.0,369,609.0,148,22,93662.0
2018-09-24,569.0,689.0,344,572.0,128,18,87239.0
2018-09-23,536.0,683.0,321,539.0,116,16,85718.0
2018-09-22,536.0,683.0,321,539.0,116,16,85718.0
2018-09-21,531.0,683.0,317,533.0,116,16,85569.0
2018-09-20,514.0,674.0,303,516.0,111,14,83419.0
2018-09-19,475.0,671.0,283,477.0,88,14,77501.0
2018-09-18,442.0,95.0,268,444.0,79,10,21328.0
2018-09-17,416.0,92.0,254,417.0,75,10,20716.0
2018-09-16,395.0,67.0,238,396.0,60,10,16616.0
2018-09-15,391.0,67.0,235,392.0,60,10,16591.0
2018-09-14,389.0,67.0,233,390.0,60,10,16562.0
2018-09-13,356.0,63.0,215,357.0,60,10,15889.0
2018-09-12,323.0,50.0,192,323.0,55,8,15083.0
2018-09-11,295.0,38.0,173,295.0,54,8,9097.0
2018-09-10,252.0,27.0,145,252.0,44,8,7047.0
2018-09-09,210.0,22.0,126,210.0,27,4,5141.0
2018-09-08,205.0,22.0,124,205.0,27,2,5119.0
2018-09-07,197.0,22.0,121,197.0,27,2,5074.0
2018-09-06,168.0,20.0,105,168.0,25,2,4563.0
2018-09-05,132.0,17.0,83,132.0,19,0,3412.0
2018-09-04,82.0,13.0,54,82.0,8,0,2093.0
2018-09-03,43.0,7.0,35,43.0,6,0,1508.0
2018-09-02,29.0,3.0,21,29.0,1,0,458.0
2018-09-01,29.0,3.0,21,29.0,1,0,458.0
2018-08-31,27.0,1.0,19,27.0,1,0,363.0
2018-08-30,686.0,138.0,375,696.0,238,36,33517.0
2018-08-29,667.0,136.0,364,677.0,235,36,32980.0
2018-08-28,644.0,129.0,355,654.0,222,30,30902.0
2018-08-27,616.0,117.0,340,626.0,203,28,28476.0
2018-08-26,586.0,113.0,329,596.0,193,28,28252.0
2018-08-25,586.0,113.0,329,596.0,193,28,28252.0
2018-08-24,584.0,112.0,327,594.0,193,26,27739.0
2018-08-23,557.0,109.0,312,567.0,181,26,26831.0
2018-08-22,526.0,108.0,294,536.0,178,24,26216.0
2018-08-21,497.0,102.0,283,504.0,164,24,24929.0
2018-08-20,481.0,100.0,271,487.0,159,20,24731.0
2018-08-19,458.0,98.0,256,464.0,131,20,22331.0
2018-08-18,458.0,98.0,256,464.0,131,20,22331.0
2018-08-17,453.0,97.0,254,459.0,130,20,22253.0
2018-08-16,431.0,92.0,244,437.0,124,18,20893.0
2018-08-15,407.0,87.0,233,413.0,113,16,19358.0
2018-08-14,379.0,76.0,221,385.0,97,16,18189.0
2018-08-13,337.0,60.0,195,343.0,87,16,12470.0
2018-08-12,314.0,56.0,183,319.0,83,12,11419.0
2018-08-11,311.0,56.0,181,316.0,82,12,11319.0
2018-08-10,311.0,56.0,181,316.0,82,12,11319.0
2018-08-09,285.0,53.0,172,290.0,82,10,11056.0
2018-08-08,210.0,50.0,157,215.0,82,10,10659.0
2018-08-07,189.0,37.0,140,193.0,73,10,9215.0
2018-08-06,171.0,32.0,126,174.0,67,10,6989.0
2018-08-05,143.0,25.0,107,142.0,65,8,6079.0
2018-08-04,140.0,25.0,105,139.0,64,8,6000.0
2018-08-03,138.0,25.0,104,137.0,56,8,5944.0
2018-08-02,111.0,21.0,85,110.0,52,8,5080.0
2018-08-01,76.0,11.0,56,75.0,42,2,3583.0
2018-07-31,43.0,2.0,32,43.0,12,0,1623.0
2018-07-30,631.0,137.0,360,634.0,128,28,35441.0
2018-07-29,592.0,118.0,343,595.0,120,28,29959.0
2018-07-28,591.0,118.0,342,594.0,120,28,29950.0
2018-07-27,589.0,109.0,340,592.0,115,28,29898.0
2018-07-26,564.0,94.0,324,567.0,101,24,28670.0
2018-07-25,526.0,89.0,304,529.0,98,18,26126.0
2018-07-24,493.0,87.0,286,496.0,92,16,25362.0
2018-07-23,473.0,86.0,270,476.0,88,16,24754.0
2018-07-22,451.0,78.0,259,454.0,87,12,24339.0
2018-07-21,447.0,77.0,257,450.0,87,12,24310.0
2018-07-20,444.0,77.0,256,447.0,87,12,24283.0
2018-07-19,421.0,61.0,241,423.0,71,10,21516.0
2018-07-18,385.0,59.0,224,387.0,70,10,20809.0
2018-07-17,359.0,55.0,208,361.0,68,10,19836.0
2018-07-16,332.0,55.0,196,333.0,68,10,19057.0
2018-07-15,314.0,53.0,185,314.0,67,8,18466.0
2018-07-14,314.0,53.0,185,314.0,67,8,18466.0
2018-07-13,309.0,52.0,180,309.0,64,8,18055.0
2018-07-12,287.0,41.0,164,287.0,60,8,12055.0
2018-07-11,253.0,38.0,144,253.0,58,8,11289.0
2018-07-10,226.0,31.0,125,226.0,47,8,9521.0
2018-07-09,202.0,30.0,113,202.0,43,8,9067.0
2018-07-08,184.0,29.0,99,184.0,40,4,8708.0
2018-07-07,181.0,28.0,96,181.0,40,4,8665.0
2018-07-06,180.0,28.0,96,180.0,40,4,8570.0
2018-07-05,126.0,20.0,70,126.0,37,4,7030.0
2018-07-04,96.0,20.0,55,96.0,34,2,6142.0
