date,comments,likes,people,posts,relation_corp,relation_org,views
2018-09,676.0,721.0,411,680.0,203,32,99257.0
2018-08,670.0,137.0,367,680.0,227,34,32257.0
2018-07,674.0,139.0,385,677.0,140,32,37064.0
2018-06,836.0,145.0,448,844.0,132,25,42298.0
2018-05,753.0,122.0,455,749.0,176,52,30979.0
2018-04,664.0,172.0,390,664.0,115,26,25312.0
2018-03,638.0,123.0,377,640.0,143,40,29390.0
2018-02,619.0,108.0,352,625.0,103,26,34778.0
2018-01,796.0,609.0,336,839.0,138,12,26355.0
2017-12,437.0,91.0,284,439.0,99,33,17176.0
2017-11,557.0,135.0,316,562.0,112,29,41847.0
2017-10,581.0,89.0,349,585.0,120,29,24463.0
2017-09,719.0,91.0,319,719.0,184,16,22292.0
2017-08,542.0,164.0,296,549.0,136,16,29011.0
2017-07,543.0,95.0,339,546.0,109,8,32286.0
2017-06,627.0,118.0,323,636.0,79,12,23374.0
2017-05,695.0,91.0,393,699.0,109,35,26002.0
2017-04,575.0,193.0,344,580.0,123,38,55659.0
2017-03,624.0,101.0,355,631.0,108,16,18897.0
2017-02,565.0,90.0,319,575.0,101,18,30249.0
2017-01,810.0,103.0,325,811.0,127,37,25701.0
2016-12,417.0,55.0,245,422.0,139,16,16129.0
2016-11,581.0,85.0,276,592.0,93,18,20006.0
2016-10,446.0,89.0,274,455.0,80,21,14488.0
2016-09,623.0,98.0,244,628.0,79,16,22279.0
2016-08,375.0,119.0,227,389.0,103,14,33586.0
2016-07,458.0,172.0,260,469.0,166,23,49008.0
2016-06,392.0,57.0,245,396.0,74,7,15556.0
2016-05,476.0,177.0,275,484.0,118,24,35792.0
2016-04,525.0,124.0,255,533.0,79,18,30083.0
2016-03,423.0,182.0,266,429.0,65,8,18395.0
2016-02,384.0,100.0,243,388.0,73,2,29711.0
2016-01,321.0,91.0,186,332.0,60,11,16976.0
2015-12,311.0,99.0,191,317.0,69,6,15278.0
2015-11,454.0,126.0,195,463.0,81,12,28098.0
2015-10,453.0,90.0,235,460.0,101,12,22545.0
2015-09,377.0,193.0,207,384.0,103,12,41683.0
2015-08,353.0,85.0,177,358.0,62,6,17139.0
2015-07,343.0,113.0,209,349.0,96,11,20592.0
2015-06,291.0,62.0,187,292.0,89,10,14094.0
2015-05,264.0,36.0,161,275.0,76,0,18809.0
2015-04,333.0,87.0,186,340.0,71,5,24758.0
2015-03,417.0,93.0,195,423.0,69,14,14234.0
2015-02,260.0,57.0,148,268.0,50,2,12974.0
2015-01,229.0,101.0,138,237.0,55,6,16157.0
2014-12,218.0,43.0,90,218.0,30,4,7984.0
2014-11,55.0,23.0,31,55.0,36,0,5012.0
2014-10,243.0,44.0,116,247.0,32,2,10029.0
2014-09,284.0,51.0,132,290.0,25,14,10297.0
2014-08,341.0,68.0,134,343.0,48,0,17914.0
2014-07,200.0,85.0,107,207.0,56,6,15024.0
2014-06,198.0,56.0,103,203.0,40,0,6681.0
2014-05,302.0,81.0,111,302.0,36,4,19640.0
2014-04,212.0,42.0,95,213.0,33,4,15021.0
2014-03,194.0,36.0,97,195.0,19,4,7368.0
2014-02,140.0,46.0,87,138.0,27,3,7635.0
2014-01,86.0,32.0,62,88.0,7,2,4871.0
2013-12,69.0,10.0,42,69.0,26,0,2035.0
2013-11,85.0,48.0,51,86.0,8,0,5019.0
2013-10,36.0,5.0,23,36.0,8,2,1310.0
2013-09,46.0,5.0,16,47.0,7,0,1539.0
2013-08,32.0,8.0,18,32.0,5,0,1346.0
2013-07,67.0,21.0,44,70.0,3,2,4645.0
2013-06,22.0,2.0,7,21.0,3,0,620.0
2013-05,25.0,10.0,19,25.0,6,0,1736.0
2013-04,21.0,7.0,12,22.0,3,2,868.0
2013-03,24.0,22.0,18,25.0,4,2,2891.0
2013-02,15.0,8.0,12,15.0,0,2,710.0
2013-01,10.0,5.0,7,10.0,0,0,504.0
2012-12,15.0,8.0,5,15.0,2,0,397.0
2012-11,13.0,6.0,11,13.0,1,0,651.0
2012-10,0.0,0.0,0,0.0,0,0,0.0
2012-09,0.0,0.0,0,0.0,0,0,0.0
2012-08,1.0,1.0,1,1.0,0,0,7.0
2012-07,1.0,0.0,1,1.0,0,0,27.0
2012-06,1.0,0.0,1,1.0,0,0,28.0
2012-05,1.0,0.0,1,1.0,0,0,15.0
2012-04,2.0,0.0,2,2.0,0,0,322.0
2012-03,1.0,2.0,1,1.0,1,0,90.0
2012-02,5.0,2.0,2,5.0,0,0,293.0
2012-01,1.0,0.0,1,1.0,0,0,53.0
2011-12,0.0,0.0,0,0.0,0,0,0.0
2011-11,1.0,0.0,1,1.0,0,0,16.0
2011-10,1.0,0.0,1,1.0,0,0,138.0
2011-09,3.0,5.0,2,3.0,0,0,354.0
2011-08,2.0,0.0,1,2.0,0,0,41.0
2011-07,0.0,0.0,0,0.0,0,0,0.0
2011-06,0.0,0.0,0,0.0,0,0,0.0
2011-05,0.0,0.0,0,0.0,0,0,0.0
2011-04,0.0,0.0,0,0.0,0,0,0.0
2011-03,1.0,0.0,1,1.0,0,0,8.0
2011-02,1.0,0.0,1,1.0,2,0,12.0
2011-01,4.0,0.0,1,4.0,0,0,66.0
2010-12,0.0,0.0,0,0.0,0,0,0.0
2010-11,0.0,0.0,0,0.0,0,0,0.0
2010-10,1.0,0.0,1,1.0,0,0,8.0
2010-09,0.0,0.0,0,0.0,0,0,0.0
2010-08,0.0,0.0,0,0.0,0,0,0.0
2010-07,3.0,0.0,2,3.0,0,0,258.0
