month,links,nodes,posts
2018-10,2809,4998,426
2018-09,2775,4955,574
2018-08,2708,4855,577
2018-07,2640,4768,584
2018-06,2547,4659,724
2018-05,2451,4526,674
2018-04,2348,4387,577
2018-03,2257,4282,586
2018-02,2146,4164,549
2018-01,2074,4060,729
2017-12,1984,3942,390
2017-11,1901,3853,485
2017-10,1843,3781,514
2017-09,1752,3684,663
2017-08,1668,3579,500
2017-07,1582,3486,482
2017-06,1512,3363,516
2017-05,1459,3273,623
2017-04,1385,3150,538
2017-03,1291,3032,576
2017-02,1238,2912,523
2017-01,1168,2807,746
2016-12,1079,2697,389
2016-11,1023,2618,542
2016-10,964,2525,426
2016-09,904,2421,587
2016-08,855,2350,344
2016-07,792,2266,440
2016-06,716,2160,341
2016-05,680,2076,425
2016-04,640,1992,433
2016-03,589,1887,410
2016-02,543,1780,327
2016-01,507,1697,310
2015-12,465,1630,294
2015-11,442,1564,379
2015-10,411,1495,430
2015-09,362,1405,363
2015-08,324,1319,320
2015-07,297,1252,279
2015-06,264,1179,267
2015-05,244,1092,216
2015-04,222,1029,293
2015-03,208,961,403
2015-02,166,867,238
2015-01,146,812,210
2014-12,128,752,200
2014-11,114,717,52
2014-10,107,705,232
2014-09,94,665,277
2014-08,74,599,328
2014-07,58,527,181
2014-06,49,477,179
2014-05,42,432,216
2014-04,36,367,187
2014-03,28,325,176
2014-02,19,266,126
2014-01,13,211,70
2013-12,11,181,64
2013-11,10,159,65
2013-10,8,134,33
2013-09,7,119,45
2013-08,6,112,30
2013-07,6,104,67
2013-06,6,69,16
2013-05,6,67,22
2013-04,4,55,18
2013-03,4,51,22
2013-02,3,40,15
2013-01,2,34,6
2012-12,1,30,15
2012-11,0,25,12
2012-10,0,15,0
2012-09,0,15,0
2012-08,0,15,1
2012-07,0,14,1
2012-06,0,13,1
2012-05,0,12,1
2012-04,0,11,2
2012-03,0,10,1
2012-02,0,10,5
2012-01,0,9,1
2011-12,0,8,0
2011-11,0,8,1
2011-10,0,8,1
2011-09,0,7,3
2011-08,0,6,2
2011-07,0,5,0
2011-06,0,5,0
2011-05,0,5,0
2011-04,0,5,0
2011-03,0,5,1
2011-02,0,4,1
2011-01,0,4,4
2010-12,0,3,0
2010-11,0,3,0
2010-10,0,3,1
2010-09,0,2,0
2010-08,0,2,0
2010-07,0,2,3
