date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10-12,102.0,50.0,9,115.0,35,0,20280.0
2018-10-11,283.0,100.0,18,284.0,48,0,49484.0
2018-10-10,174.0,71.0,16,180.0,29,0,12700.0
2018-10-09,241.0,225.0,27,241.0,49,0,24756.0
2018-10-08,270.0,62.0,31,270.0,428,0,14764.0
2018-10-07,0.0,0.0,0,0.0,0,0,0.0
2018-10-06,27.0,8.0,2,27.0,1,0,1263.0
2018-10-05,155.0,115.0,17,156.0,23,0,20298.0
2018-10-04,143.0,114.0,14,142.0,49,0,20624.0
2018-10-03,108.0,36.0,9,106.0,22,0,10198.0
2018-10-02,198.0,61.0,14,205.0,36,0,6822.0
2018-10-01,235.0,22.0,9,237.0,33,0,6334.0
2018-09-30,11.0,15.0,2,11.0,2,0,440.0
2018-09-29,8.0,1.0,1,8.0,0,0,143.0
2018-09-28,192.0,79.0,11,193.0,14,0,8291.0
2018-09-27,169.0,83.0,20,172.0,54,0,16105.0
2018-09-26,196.0,27.0,11,197.0,53,0,4508.0
2018-09-25,191.0,78.0,9,194.0,32,0,15287.0
2018-09-24,164.0,108.0,10,164.0,12,0,12535.0
2018-09-23,0.0,0.0,0,0.0,0,0,0.0
2018-09-22,10.0,5.0,3,14.0,9,0,1040.0
2018-09-21,257.0,27.0,12,258.0,26,0,4691.0
2018-09-20,155.0,30.0,10,157.0,13,0,11983.0
2018-09-19,169.0,45.0,13,172.0,9,0,13027.0
2018-09-18,185.0,54.0,7,187.0,25,0,12228.0
2018-09-17,129.0,15.0,11,134.0,6,0,5231.0
2018-09-16,14.0,0.0,1,14.0,0,0,223.0
2018-09-15,0.0,0.0,0,0.0,0,0,0.0
2018-09-14,148.0,47.0,9,148.0,15,0,2923.0
2018-09-13,190.0,127.0,10,191.0,14,0,9325.0
2018-09-12,140.0,46.0,12,142.0,29,0,3229.0
2018-09-11,157.0,21.0,9,158.0,42,0,4572.0
2018-09-10,186.0,79.0,10,191.0,32,0,7801.0
2018-09-09,10.0,0.0,1,11.0,0,0,62.0
2018-09-08,42.0,3.0,1,42.0,9,0,778.0
2018-09-07,173.0,71.0,7,173.0,5,0,11076.0
2018-09-06,176.0,32.0,5,176.0,25,0,7528.0
2018-09-05,165.0,53.0,13,167.0,42,0,4704.0
2018-09-04,236.0,32.0,12,238.0,23,0,8237.0
2018-09-03,118.0,103.0,14,118.0,27,0,6806.0
2018-09-02,0.0,0.0,0,0.0,0,0,0.0
2018-09-01,0.0,0.0,0,0.0,0,0,0.0
2018-08-31,134.0,13.0,3,134.0,48,0,1455.0
2018-08-30,113.0,41.0,8,115.0,31,0,6314.0
2018-08-29,162.0,31.0,3,162.0,14,0,3682.0
2018-08-28,149.0,34.0,37,151.0,17,0,6768.0
2018-08-27,162.0,31.0,4,163.0,29,0,4301.0
2018-08-26,0.0,0.0,0,0.0,0,0,0.0
2018-08-25,7.0,10.0,2,7.0,0,0,238.0
2018-08-24,153.0,44.0,7,154.0,4,0,6337.0
2018-08-23,105.0,52.0,14,107.0,14,0,4665.0
2018-08-22,89.0,33.0,6,93.0,28,0,8409.0
2018-08-21,103.0,26.0,8,103.0,24,0,7406.0
2018-08-20,113.0,17.0,14,115.0,16,0,7230.0
2018-08-19,0.0,0.0,0,0.0,0,0,0.0
2018-08-18,0.0,0.0,0,0.0,0,0,0.0
2018-08-17,106.0,87.0,7,106.0,15,0,11124.0
2018-08-16,128.0,32.0,7,128.0,42,0,8405.0
2018-08-15,127.0,22.0,20,127.0,32,0,2954.0
2018-08-14,124.0,40.0,11,125.0,43,0,5624.0
2018-08-13,147.0,108.0,18,147.0,18,0,11547.0
2018-08-12,8.0,1.0,1,9.0,0,0,345.0
2018-08-11,7.0,2.0,1,7.0,2,0,212.0
2018-08-10,164.0,28.0,7,164.0,37,0,5898.0
2018-08-09,144.0,16.0,10,145.0,47,0,5457.0
2018-08-08,110.0,27.0,10,114.0,20,0,4256.0
2018-08-07,104.0,65.0,8,103.0,8,0,15983.0
2018-08-06,129.0,56.0,16,135.0,38,0,13924.0
2018-08-05,5.0,3.0,3,5.0,9,0,184.0
2018-08-04,8.0,3.0,6,17.0,0,0,526.0
2018-08-03,113.0,32.0,22,115.0,37,0,3129.0
2018-08-02,115.0,108.0,36,120.0,62,0,14339.0
2018-08-01,225.0,160.0,70,233.0,146,0,51524.0
2018-07-31,260.0,149.0,57,278.0,127,6,30269.0
2018-07-30,182.0,206.0,94,200.0,155,0,77376.0
2018-07-29,18.0,12.0,6,18.0,0,0,850.0
2018-07-28,25.0,87.0,21,29.0,16,0,1048.0
2018-07-27,255.0,194.0,159,271.0,129,0,36454.0
2018-07-26,279.0,144.0,165,293.0,152,8,29686.0
2018-07-25,288.0,203.0,123,307.0,138,0,31483.0
2018-07-24,200.0,141.0,124,219.0,79,0,25998.0
2018-07-23,272.0,106.0,140,294.0,72,4,15151.0
2018-07-22,20.0,10.0,15,21.0,9,0,16859.0
2018-07-21,18.0,7.0,12,18.0,8,0,333.0
2018-07-20,240.0,151.0,113,252.0,96,1,56507.0
2018-07-19,284.0,143.0,137,303.0,98,3,18302.0
2018-07-18,255.0,114.0,135,273.0,169,6,24085.0
2018-07-17,222.0,91.0,115,232.0,163,0,18213.0
2018-07-16,200.0,79.0,115,208.0,93,0,10839.0
2018-07-15,26.0,5.0,10,28.0,6,0,1369.0
2018-07-14,35.0,27.0,20,37.0,47,0,2228.0
2018-07-13,256.0,72.0,126,270.0,63,2,14080.0
2018-07-12,326.0,132.0,150,344.0,156,8,45231.0
2018-07-11,265.0,84.0,139,282.0,98,6,18211.0
2018-07-10,239.0,47.0,128,248.0,101,5,19300.0
2018-07-09,307.0,55.0,107,321.0,100,2,10593.0
2018-07-08,17.0,8.0,7,17.0,8,0,2079.0
2018-07-07,10.0,2.0,6,11.0,1,0,256.0
2018-07-06,397.0,130.0,108,415.0,76,0,34123.0
2018-07-05,167.0,100.0,99,178.0,84,0,21141.0
2018-07-04,164.0,106.0,87,178.0,106,0,25209.0
2018-07-03,201.0,77.0,100,214.0,66,2,17585.0
2018-07-02,526.0,135.0,154,569.0,134,14,52152.0
2018-07-01,20.0,17.0,10,21.0,2,0,419.0
2018-06-30,20.0,8.0,12,20.0,7,0,2060.0
2018-06-29,220.0,63.0,102,240.0,84,2,10358.0
2018-06-28,516.0,234.0,149,537.0,141,24,60866.0
2018-06-27,194.0,132.0,88,203.0,92,4,25202.0
2018-06-26,244.0,82.0,107,253.0,106,0,14404.0
2018-06-25,214.0,91.0,114,228.0,105,4,15389.0
2018-06-24,144.0,10.0,31,153.0,11,2,4862.0
2018-06-23,22.0,8.0,11,22.0,2,0,894.0
2018-06-22,677.0,169.0,202,711.0,164,37,34589.0
2018-06-21,230.0,134.0,135,241.0,131,2,22655.0
2018-06-20,201.0,139.0,118,215.0,121,0,26460.0
2018-06-19,208.0,108.0,126,222.0,117,0,16847.0
2018-06-18,196.0,163.0,104,204.0,86,6,32302.0
2018-06-17,14.0,4.0,9,14.0,3,0,476.0
2018-06-16,79.0,10.0,15,85.0,15,0,860.0
2018-06-15,205.0,48.0,115,218.0,114,2,7984.0
2018-06-14,384.0,196.0,149,412.0,115,5,35706.0
2018-06-13,241.0,56.0,144,264.0,77,2,16194.0
2018-06-12,282.0,78.0,130,292.0,95,4,10306.0
2018-06-11,192.0,177.0,92,203.0,65,0,24100.0
2018-06-10,8.0,10.0,5,7.0,7,0,1169.0
2018-06-09,19.0,5.0,13,19.0,3,0,788.0
2018-06-08,190.0,63.0,97,202.0,68,2,15177.0
2018-06-07,168.0,146.0,95,178.0,111,0,23106.0
2018-06-06,135.0,58.0,78,138.0,33,2,5658.0
2018-06-05,179.0,69.0,102,188.0,68,0,22084.0
2018-06-04,213.0,88.0,112,230.0,60,2,27356.0
2018-06-03,33.0,6.0,17,36.0,2,0,1308.0
2018-06-02,16.0,10.0,14,17.0,13,0,3142.0
2018-06-01,219.0,79.0,112,234.0,91,2,33064.0
2018-05-31,194.0,40.0,119,208.0,107,4,16711.0
2018-05-30,202.0,67.0,132,214.0,61,0,13504.0
2018-05-29,192.0,58.0,115,201.0,80,0,12412.0
2018-05-28,129.0,39.0,79,137.0,50,2,5518.0
2018-05-27,13.0,2.0,5,13.0,1,0,218.0
2018-05-26,17.0,10.0,10,17.0,9,0,620.0
2018-05-25,208.0,39.0,114,224.0,66,2,5947.0
2018-05-24,231.0,73.0,137,241.0,98,2,12409.0
2018-05-23,288.0,126.0,123,297.0,78,2,39107.0
