date,comments,likes,people,posts,relation_corp,relation_org,views
2018-09,3631.0,1191.0,214,3672.0,518,4,175701.0
2018-08,3083.0,1126.0,336,3133.0,791,16,212889.0
2018-07,5974.0,2834.0,1925,6349.0,2552,372,657429.0
2018-06,5663.0,2444.0,1858,5986.0,2107,401,495366.0
2018-05,4943.0,1612.0,1788,5208.0,1780,367,350287.0
2018-04,4807.0,1559.0,1687,5042.0,1686,309,278797.0
2018-03,4494.0,1853.0,1688,4697.0,1525,367,239774.0
2018-02,4325.0,1375.0,1481,4559.0,1424,276,255511.0
2018-01,4669.0,4054.0,1393,5389.0,1118,250,223969.0
2017-12,3629.0,1291.0,1260,3784.0,912,256,195451.0
2017-11,3857.0,1536.0,1359,4085.0,982,266,196726.0
2017-10,4145.0,1445.0,1541,4376.0,1106,266,240074.0
2017-09,4274.0,1350.0,1334,4544.0,903,156,198483.0
2017-08,3825.0,1506.0,1366,4028.0,986,204,238444.0
2017-07,4089.0,1134.0,1388,4340.0,867,198,217649.0
2017-06,4224.0,1366.0,1269,4451.0,862,212,176434.0
2017-05,3815.0,1404.0,1431,4012.0,883,233,222867.0
2017-04,3405.0,1244.0,1334,3600.0,628,262,177480.0
2017-03,4231.0,1321.0,1298,4474.0,699,188,175632.0
2017-02,3358.0,982.0,1193,3548.0,581,188,170104.0
2017-01,3626.0,975.0,1009,3847.0,617,138,153667.0
2016-12,2640.0,994.0,970,2795.0,606,163,140678.0
2016-11,3200.0,992.0,1065,3408.0,570,153,205282.0
2016-10,2788.0,1075.0,1082,2968.0,689,127,153777.0
2016-09,3238.0,1472.0,1046,3421.0,655,194,180212.0
2016-08,2210.0,1036.0,888,2333.0,524,89,143297.0
2016-07,2468.0,963.0,972,2589.0,740,134,153367.0
2016-06,2443.0,1057.0,999,2558.0,561,125,132379.0
2016-05,2347.0,884.0,923,2488.0,496,105,145848.0
2016-04,2968.0,988.0,1054,3166.0,597,170,213495.0
2016-03,2929.0,1356.0,1048,3052.0,505,153,148331.0
2016-02,2351.0,792.0,873,2468.0,523,108,145082.0
2016-01,2124.0,653.0,759,2263.0,446,149,132166.0
2015-12,1849.0,701.0,696,2070.0,410,61,100657.0
2015-11,2394.0,957.0,781,2525.0,460,84,140904.0
2015-10,2334.0,1277.0,889,2480.0,574,140,187365.0
2015-09,2034.0,1273.0,847,2162.0,597,84,185710.0
2015-08,1740.0,1064.0,683,1839.0,437,70,139464.0
2015-07,1949.0,894.0,822,2086.0,501,101,141971.0
2015-06,1647.0,682.0,740,1744.0,418,74,91816.0
2015-05,1526.0,611.0,666,1616.0,390,73,110902.0
2015-04,1899.0,723.0,751,2001.0,483,83,131878.0
2015-03,2332.0,702.0,817,2508.0,432,113,140005.0
2015-02,1610.0,665.0,665,1751.0,390,72,105096.0
2015-01,1440.0,654.0,557,1497.0,315,55,112418.0
2014-12,1012.0,837.0,456,1105.0,294,26,79386.0
2014-11,351.0,449.0,238,377.0,241,20,56134.0
2014-10,1426.0,768.0,590,1530.0,349,58,116740.0
2014-09,1270.0,522.0,543,1369.0,362,78,72274.0
2014-08,2223.0,388.0,572,2376.0,362,75,70675.0
2014-07,1018.0,441.0,465,1115.0,388,36,79925.0
2014-06,862.0,397.0,428,958.0,294,29,62523.0
2014-05,1052.0,359.0,459,1128.0,233,48,77946.0
2014-04,800.0,503.0,417,886.0,177,33,75323.0
2014-03,846.0,354.0,397,925.0,174,39,71289.0
2014-02,694.0,548.0,333,760.0,163,23,74871.0
2014-01,452.0,488.0,266,507.0,91,18,77784.0
2013-12,352.0,236.0,198,407.0,62,18,25669.0
2013-11,442.0,182.0,212,515.0,65,8,28573.0
2013-10,184.0,136.0,113,201.0,29,2,18242.0
2013-09,161.0,97.0,88,176.0,38,0,12236.0
2013-08,138.0,89.0,83,150.0,35,0,10287.0
2013-07,288.0,63.0,121,308.0,45,1,16825.0
2013-06,97.0,95.0,57,103.0,21,0,5956.0
2013-05,98.0,22.0,51,109.0,14,0,5923.0
2013-04,72.0,26.0,40,76.0,12,0,3544.0
2013-03,76.0,43.0,41,79.0,21,2,5908.0
2013-02,57.0,11.0,37,60.0,7,2,4442.0
2013-01,44.0,17.0,20,49.0,4,0,1787.0
2012-12,20.0,10.0,16,22.0,0,0,1139.0
2012-11,39.0,13.0,25,47.0,6,0,1879.0
2012-10,4.0,0.0,2,4.0,0,0,132.0
2012-09,3.0,1.0,2,3.0,1,0,65.0
2012-08,1.0,1.0,1,1.0,11,0,6.0
2012-07,2.0,3.0,2,3.0,2,0,221.0
2012-06,2.0,3.0,1,2.0,0,0,324.0
2012-05,1.0,0.0,1,1.0,0,0,24.0
2012-04,8.0,0.0,3,9.0,1,0,178.0
2012-03,1.0,0.0,1,2.0,0,0,19.0
2012-02,4.0,3.0,4,5.0,0,0,201.0
2012-01,0.0,0.0,0,0.0,0,0,0.0
2011-12,2.0,0.0,2,2.0,0,0,168.0
2011-11,6.0,1.0,3,6.0,1,0,343.0
2011-10,2.0,0.0,1,2.0,0,0,30.0
2011-09,4.0,5.0,1,4.0,0,0,373.0
2011-08,3.0,0.0,1,3.0,0,0,61.0
2011-07,0.0,0.0,0,0.0,0,0,0.0
2011-06,2.0,1.0,1,2.0,0,0,32.0
2011-05,2.0,0.0,2,2.0,0,0,14.0
2011-04,0.0,0.0,0,0.0,0,0,0.0
2011-03,0.0,0.0,1,0.0,0,0,0.0
2011-02,0.0,0.0,0,0.0,0,0,0.0
2011-01,1.0,0.0,2,1.0,0,0,22.0
2010-12,0.0,0.0,0,0.0,0,0,0.0
2010-11,0.0,0.0,0,0.0,0,0,0.0
2010-10,0.0,0.0,0,0.0,0,0,0.0
2010-09,1.0,0.0,1,1.0,0,0,11.0
2010-08,1.0,0.0,1,1.0,1,0,12.0
2010-07,2.0,0.0,1,2.0,0,0,63.0
2010-06,0.0,0.0,0,0.0,0,0,0.0
2010-05,0.0,0.0,1,0.0,0,0,0.0
