month,links,nodes,posts
2018-10,17971,13721,1681
2018-09,17679,13603,3300
2018-08,17251,13362,2866
2018-07,16817,13156,5538
2018-06,16023,12783,5175
2018-05,15396,12493,4451
2018-04,14796,12200,4329
2018-03,14212,11888,4210
2018-02,13570,11537,4029
2018-01,13112,11286,4551
2017-12,12626,11035,3261
2017-11,12165,10819,3600
2017-10,11742,10579,3849
2017-09,11261,10310,4101
2017-08,10799,10054,3544
2017-07,10293,9764,3793
2017-06,9814,9434,3580
2017-05,9334,9170,3622
2017-04,8886,8907,3323
2017-03,8522,8632,3917
2017-02,7993,8309,3237
2017-01,7621,8068,3470
2016-12,7292,7860,2562
2016-11,6979,7659,3201
2016-10,6681,7444,2753
2016-09,6350,7227,3223
2016-08,5928,6980,2055
2016-07,5648,6784,2420
2016-06,5324,6549,2325
2016-05,4978,6301,2269
2016-04,4728,6099,2822
2016-03,4393,5841,2874
2016-02,4097,5566,2180
2016-01,3842,5351,2087
2015-12,3599,5167,1964
2015-11,3391,4977,2113
2015-10,3186,4780,2349
2015-09,2899,4537,1971
2015-08,2632,4327,1640
2015-07,2462,4164,1863
2015-06,2191,3908,1589
2015-05,2013,3687,1533
2015-04,1816,3505,1771
2015-03,1644,3293,2257
2015-02,1406,3012,1603
2015-01,1258,2790,1332
2014-12,1093,2609,989
2014-11,976,2466,367
2014-10,899,2399,1401
2014-09,756,2194,1261
2014-08,631,1984,2233
2014-07,518,1747,1012
2014-06,427,1595,813
2014-05,353,1422,986
2014-04,287,1234,753
2014-03,231,1064,817
2014-02,161,880,657
2014-01,113,712,447
2013-12,86,594,363
2013-11,50,495,457
2013-10,34,381,160
2013-09,25,332,164
2013-08,18,291,136
2013-07,10,248,267
2013-06,5,180,80
2013-05,4,148,86
2013-04,2,124,50
2013-03,2,105,64
2013-02,1,85,44
2013-01,0,66,44
2012-12,0,46,13
2012-11,0,39,35
2012-10,0,18,4
2012-09,0,18,3
2012-08,0,16,0
2012-07,0,16,3
2012-06,0,15,2
2012-05,0,13,0
2012-04,0,13,7
2012-03,0,12,4
2012-02,0,10,3
2012-01,0,8,0
2011-12,0,8,3
2011-11,0,7,5
2011-10,0,7,1
2011-09,0,7,6
2011-08,0,6,3
2011-07,0,5,0
2011-06,0,5,0
2011-05,0,5,1
2011-04,0,4,0
2011-03,0,4,0
2011-02,0,4,0
2011-01,0,4,1
2010-12,0,3,0
2010-11,0,3,1
2010-10,0,2,0
2010-09,0,2,1
2010-08,0,1,1
2010-07,0,0,0
2010-06,0,0,0
2010-05,0,0,0
