date,comments,likes,people,posts,relation_corp,relation_org,views
2018-08-05,1.0,0.0,1,1.0,0,0,4.0
2018-08-04,4.0,1.0,4,4.0,17,0,567.0
2018-08-03,39.0,12.0,32,39.0,23,4,690.0
2018-08-02,55.0,15.0,46,55.0,22,0,4865.0
2018-08-01,47.0,23.0,43,47.0,10,0,4407.0
2018-07-31,85.0,13.0,52,85.0,1,0,3931.0
2018-07-30,50.0,36.0,37,50.0,33,0,9304.0
2018-07-29,1.0,0.0,1,1.0,0,0,37.0
2018-07-28,11.0,7.0,8,11.0,14,0,1898.0
2018-07-27,46.0,5.0,37,47.0,9,0,2095.0
2018-07-26,83.0,15.0,64,84.0,28,2,3349.0
2018-07-25,112.0,65.0,78,113.0,54,0,17441.0
2018-07-24,105.0,23.0,71,105.0,20,4,5782.0
2018-07-23,109.0,78.0,67,110.0,29,2,17321.0
2018-07-22,8.0,1.0,7,8.0,0,0,149.0
2018-07-21,15.0,5.0,10,15.0,8,0,233.0
2018-07-20,81.0,61.0,57,83.0,31,0,32879.0
2018-07-19,71.0,55.0,55,75.0,34,6,10236.0
2018-07-18,78.0,24.0,49,77.0,24,0,3056.0
2018-07-17,93.0,78.0,61,93.0,17,2,9797.0
2018-07-16,86.0,12.0,56,86.0,16,0,2770.0
2018-07-15,6.0,1.0,5,6.0,0,0,139.0
2018-07-14,6.0,0.0,5,6.0,10,0,223.0
2018-07-13,62.0,26.0,48,62.0,12,2,4804.0
2018-07-12,118.0,11.0,76,118.0,48,0,3720.0
2018-07-11,91.0,10.0,68,92.0,15,2,3222.0
2018-07-10,95.0,20.0,66,95.0,15,6,4642.0
2018-07-09,64.0,3.0,42,64.0,6,0,1316.0
2018-07-08,6.0,2.0,4,6.0,0,0,503.0
2018-07-07,7.0,0.0,3,7.0,0,0,99.0
2018-07-06,78.0,30.0,54,79.0,7,0,5579.0
2018-07-05,40.0,10.0,33,40.0,6,0,2003.0
2018-07-04,47.0,11.0,35,47.0,7,2,2988.0
2018-07-03,56.0,31.0,34,57.0,10,0,2127.0
2018-07-02,56.0,11.0,39,57.0,13,0,1391.0
2018-07-01,2.0,1.0,2,2.0,0,0,22.0
2018-06-30,9.0,2.0,8,9.0,2,0,480.0
2018-06-29,45.0,5.0,27,46.0,1,2,748.0
2018-06-28,78.0,48.0,52,78.0,16,0,23019.0
2018-06-27,78.0,300.0,48,78.0,60,0,42553.0
2018-06-26,89.0,61.0,62,90.0,29,2,13846.0
2018-06-25,101.0,29.0,60,101.0,28,2,9079.0
2018-06-24,7.0,0.0,6,8.0,0,0,120.0
2018-06-23,5.0,11.0,4,5.0,0,0,906.0
2018-06-22,112.0,74.0,71,114.0,50,12,13611.0
2018-06-21,113.0,111.0,82,114.0,49,4,14575.0
2018-06-20,75.0,37.0,61,76.0,41,2,14206.0
2018-06-19,62.0,27.0,50,62.0,9,0,4974.0
2018-06-18,68.0,144.0,48,68.0,29,4,31930.0
2018-06-17,6.0,3.0,4,6.0,1,0,92.0
2018-06-16,5.0,4.0,4,5.0,3,0,119.0
2018-06-15,67.0,21.0,47,67.0,13,0,4052.0
2018-06-14,89.0,95.0,58,89.0,15,2,25810.0
2018-06-13,72.0,30.0,60,74.0,24,0,3845.0
2018-06-12,74.0,44.0,52,73.0,12,0,2509.0
2018-06-11,53.0,26.0,35,53.0,21,2,2596.0
2018-06-10,1.0,1.0,1,1.0,0,0,20.0
2018-06-09,9.0,5.0,7,9.0,1,0,389.0
2018-06-08,54.0,43.0,31,45.0,29,2,4867.0
2018-06-07,51.0,30.0,38,51.0,14,2,8494.0
2018-06-06,42.0,10.0,29,43.0,3,0,2852.0
2018-06-05,51.0,49.0,37,51.0,26,0,10800.0
2018-06-04,96.0,60.0,51,98.0,22,0,17095.0
2018-06-03,21.0,7.0,14,22.0,5,0,1874.0
2018-06-02,11.0,8.0,10,11.0,8,0,3004.0
2018-06-01,101.0,38.0,75,102.0,23,0,17652.0
2018-05-31,96.0,21.0,74,99.0,15,6,12120.0
2018-05-30,84.0,26.0,66,84.0,11,2,6403.0
2018-05-29,57.0,20.0,49,57.0,33,0,3815.0
2018-05-28,34.0,4.0,22,35.0,3,0,889.0
2018-05-27,3.0,2.0,3,3.0,0,0,43.0
2018-05-26,16.0,2.0,10,16.0,0,0,415.0
2018-05-25,76.0,10.0,59,76.0,9,2,2577.0
2018-05-24,56.0,18.0,46,58.0,33,0,3185.0
2018-05-23,70.0,26.0,56,68.0,30,0,3916.0
2018-05-22,48.0,7.0,43,51.0,5,2,4371.0
2018-05-21,38.0,85.0,30,38.0,10,0,4245.0
2018-05-20,2.0,0.0,5,5.0,0,0,76.0
2018-05-19,9.0,9.0,4,9.0,1,0,250.0
2018-05-18,59.0,12.0,48,59.0,19,0,2292.0
