date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10,32.0,18.0,23,32.0,2,0,931.0
2018-09,43.0,4.0,23,43.0,0,4,881.0
2018-08,20.0,3.0,16,20.0,0,4,530.0
2018-07,19.0,29.0,10,19.0,8,0,5910.0
2018-06,30.0,32.0,15,30.0,0,0,2374.0
2018-05,4.0,0.0,4,4.0,0,0,87.0
2018-04,3.0,0.0,2,3.0,0,0,62.0
2018-03,1.0,3.0,1,1.0,0,0,20.0
2018-02,3.0,7.0,3,3.0,0,0,264.0
2018-01,0.0,0.0,0,0.0,0,0,0.0
2017-12,1.0,0.0,1,1.0,0,0,23.0
2017-11,0.0,0.0,0,0.0,0,0,0.0
2017-10,1.0,0.0,1,1.0,0,0,9.0
2017-09,2.0,0.0,2,2.0,0,0,38.0
2017-08,2.0,0.0,2,2.0,0,0,19.0
2017-07,2.0,0.0,2,2.0,0,0,45.0
2017-06,3.0,22.0,2,3.0,0,0,4814.0
2017-05,4.0,2.0,3,4.0,0,0,408.0
