date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10,2058.0,961.0,951,2090.0,635,144,152683.0
2018-09,1663.0,1323.0,795,1667.0,536,128,276695.0
2018-08,1894.0,682.0,877,1909.0,493,182,159534.0
2018-07,1360.0,514.0,809,1385.0,330,147,87291.0
2018-06,1190.0,572.0,650,1202.0,292,164,121234.0
2018-05,965.0,381.0,595,976.0,309,124,66046.0
2018-04,616.0,270.0,341,617.0,80,51,57846.0
2018-03,380.0,165.0,251,386.0,89,23,20702.0
2018-02,274.0,266.0,192,274.0,87,12,55236.0
2018-01,289.0,72.0,172,359.0,48,28,18366.0
2017-12,205.0,176.0,134,208.0,54,8,26750.0
2017-11,169.0,55.0,113,174.0,35,7,9186.0
2017-10,164.0,51.0,97,164.0,18,0,15937.0
2017-09,139.0,45.0,95,140.0,11,2,14633.0
2017-08,119.0,52.0,71,119.0,18,2,8004.0
2017-07,99.0,21.0,61,100.0,8,4,4468.0
2017-06,109.0,48.0,77,110.0,14,4,10068.0
2017-05,190.0,59.0,127,190.0,30,8,14627.0
2017-04,97.0,42.0,70,97.0,20,4,31370.0
2017-03,54.0,7.0,38,54.0,3,4,2061.0
2017-02,47.0,22.0,36,47.0,17,0,7869.0
2017-01,39.0,34.0,29,39.0,5,0,2683.0
2016-12,33.0,21.0,22,33.0,11,0,3125.0
2016-11,22.0,2.0,14,22.0,2,0,873.0
2016-10,22.0,6.0,20,23.0,1,0,874.0
2016-09,20.0,6.0,14,21.0,7,0,1466.0
2016-08,11.0,2.0,8,11.0,3,0,318.0
2016-07,10.0,3.0,9,10.0,1,0,312.0
2016-06,17.0,6.0,11,17.0,3,0,2302.0
2016-05,17.0,3.0,10,17.0,0,0,1323.0
2016-04,6.0,0.0,3,6.0,2,0,99.0
2016-03,6.0,0.0,6,6.0,4,0,150.0
2016-02,7.0,3.0,7,7.0,2,0,573.0
2016-01,3.0,1.0,3,3.0,0,0,222.0
2015-12,6.0,67.0,6,6.0,10,0,6395.0
2015-11,13.0,1.0,10,13.0,0,0,381.0
2015-10,15.0,3.0,14,15.0,1,0,492.0
2015-09,11.0,103.0,9,11.0,11,0,11552.0
2015-08,7.0,0.0,5,7.0,0,0,88.0
2015-07,3.0,0.0,2,3.0,0,0,108.0
2015-06,3.0,0.0,2,3.0,0,0,30.0
2015-05,4.0,5.0,3,4.0,1,0,428.0
2015-04,4.0,2.0,4,4.0,0,0,162.0
2015-03,5.0,0.0,5,5.0,0,0,39.0
2015-02,0.0,0.0,0,0.0,0,0,0.0
2015-01,4.0,0.0,4,4.0,7,0,144.0
2014-12,2.0,0.0,2,2.0,0,0,76.0
2014-11,0.0,0.0,0,0.0,0,0,0.0
2014-10,0.0,0.0,0,0.0,0,0,0.0
2014-09,0.0,0.0,0,0.0,0,0,0.0
2014-08,5.0,1.0,4,5.0,0,0,75.0
2014-07,2.0,0.0,2,2.0,2,0,54.0
2014-06,0.0,0.0,0,0.0,0,0,0.0
2014-05,0.0,0.0,0,0.0,0,0,0.0
2014-04,0.0,0.0,0,0.0,0,0,0.0
2014-03,1.0,1.0,1,1.0,0,0,116.0
2014-02,0.0,0.0,0,0.0,0,0,0.0
2014-01,0.0,0.0,0,0.0,0,0,0.0
2013-12,1.0,0.0,1,1.0,0,0,3.0
2013-11,0.0,0.0,0,0.0,0,0,0.0
2013-10,0.0,0.0,0,0.0,0,0,0.0
2013-09,0.0,0.0,0,0.0,0,0,0.0
2013-08,0.0,0.0,0,0.0,0,0,0.0
2013-07,0.0,0.0,0,0.0,0,0,0.0
2013-06,0.0,0.0,0,0.0,0,0,0.0
2013-05,0.0,0.0,0,0.0,0,0,0.0
2013-04,0.0,0.0,0,0.0,0,0,0.0
2013-03,2.0,7.0,2,2.0,0,0,608.0
2013-02,1.0,1.0,1,1.0,0,0,204.0
