month,links,nodes,posts
2018-11,1072,2462,156
2018-10,1037,2416,2280
2018-09,709,1888,1716
2018-08,442,1370,1315
2018-07,279,1026,1677
2018-06,159,732,1388
2018-05,86,503,748
2018-04,31,334,327
2018-03,20,267,168
2018-02,15,232,134
2018-01,13,199,197
2017-12,9,169,93
2017-11,6,141,60
2017-10,5,126,54
2017-09,4,115,56
2017-08,3,103,58
2017-07,1,89,24
2017-06,1,80,44
2017-05,1,66,37
2017-04,0,48,19
2017-03,0,37,20
2017-02,0,30,4
2017-01,0,27,6
2016-12,0,26,7
2016-11,0,22,2
2016-10,0,21,3
2016-09,0,19,5
2016-08,0,16,4
2016-07,0,13,0
2016-06,0,13,10
2016-05,0,10,8
2016-04,0,8,0
2016-03,0,8,1
2016-02,0,7,0
2016-01,0,7,0
2015-12,0,7,2
2015-11,0,6,4
2015-10,0,5,0
2015-09,0,5,0
2015-08,0,5,2
2015-07,0,4,1
2015-06,0,4,0
2015-05,0,4,2
2015-04,0,3,0
2015-03,0,3,1
2015-02,0,2,0
2015-01,0,2,1
2014-12,0,1,1
2014-11,0,0,0
2014-10,0,0,0
2014-09,0,0,0
2014-08,0,0,0
2014-07,0,0,0
2014-06,0,0,0
2014-05,0,0,0
2014-04,0,0,0
2014-03,0,0,0
2014-02,0,0,0
2014-01,0,0,0
2013-12,0,0,0
2013-11,0,0,0
2013-10,0,0,0
2013-09,0,0,0
2013-08,0,0,0
2013-07,0,0,0
2013-06,0,0,0
2013-05,0,0,0
2013-04,0,0,0
2013-03,0,0,0
2013-02,0,0,0
