date,comments,likes,people,posts,relation_corp,relation_org,views
2018-10-10,5.0,0.0,4,5.0,0,0,24.0
2018-10-09,4.0,4.0,6,4.0,20,0,2033.0
2018-10-08,935.0,0.0,6,936.0,9,0,1022.0
2018-10-07,1.0,0.0,1,1.0,0,0,3.0
2018-10-06,1.0,0.0,1,1.0,0,0,87.0
2018-10-05,3.0,3.0,3,3.0,3,0,288.0
2018-10-04,4.0,0.0,3,4.0,8,0,599.0
2018-10-03,2.0,1.0,2,2.0,0,0,545.0
2018-10-02,4.0,2.0,4,4.0,1,0,36.0
2018-10-01,3.0,1.0,3,3.0,0,0,30.0
2018-09-30,0.0,0.0,0,0.0,0,0,0.0
2018-09-29,1.0,1.0,1,1.0,0,0,13.0
2018-09-28,6.0,0.0,4,6.0,0,0,29.0
2018-09-27,2.0,0.0,2,2.0,0,0,4.0
2018-09-26,4.0,0.0,3,4.0,0,0,23.0
2018-09-25,2.0,0.0,2,2.0,9,0,110.0
2018-09-24,5.0,5.0,4,5.0,4,0,270.0
2018-09-23,0.0,0.0,0,0.0,0,0,0.0
2018-09-22,0.0,0.0,0,0.0,0,0,0.0
2018-09-21,2.0,0.0,2,2.0,0,0,27.0
2018-09-20,5.0,0.0,5,5.0,9,0,2859.0
2018-09-19,4.0,2.0,4,4.0,3,0,362.0
2018-09-18,6.0,5.0,4,6.0,1,0,76.0
2018-09-17,1.0,5.0,2,2.0,3,0,26.0
2018-09-16,0.0,0.0,0,0.0,0,0,0.0
2018-09-15,0.0,0.0,0,0.0,0,0,0.0
2018-09-14,4.0,4.0,4,4.0,0,0,89.0
2018-09-13,2.0,26.0,2,2.0,10,0,1807.0
2018-09-12,1.0,0.0,1,1.0,0,0,3.0
2018-09-11,7.0,7.0,4,7.0,3,0,316.0
2018-09-10,3.0,0.0,3,3.0,0,0,44.0
2018-09-09,0.0,0.0,0,0.0,0,0,0.0
2018-09-08,0.0,0.0,0,0.0,0,0,0.0
2018-09-07,7.0,13.0,7,7.0,7,0,158.0
2018-09-06,4.0,0.0,4,4.0,2,0,13.0
2018-09-05,4.0,13.0,4,4.0,2,0,450.0
2018-09-04,1.0,0.0,1,1.0,0,0,1.0
2018-09-03,2.0,0.0,2,2.0,1,0,42.0
2018-09-02,0.0,0.0,0,0.0,0,0,0.0
2018-09-01,0.0,0.0,0,0.0,0,0,0.0
2018-08-31,1.0,0.0,1,1.0,0,0,11.0
2018-08-30,4.0,0.0,3,4.0,0,0,29.0
2018-08-29,3.0,8.0,4,4.0,4,0,935.0
2018-08-28,0.0,0.0,0,0.0,0,0,0.0
2018-08-27,1.0,0.0,1,1.0,0,0,220.0
2018-08-26,0.0,0.0,0,0.0,0,0,0.0
