date,comments,likes,people,posts,relation_corp,relation_org,views
2018-09,73.0,81.0,56,74.0,54,0,6722.0
2018-08,83.0,63.0,58,84.0,39,0,10372.0
2018-07,103.0,66.0,59,103.0,38,2,20161.0
2018-06,82.0,69.0,55,85.0,40,2,6861.0
2018-05,164.0,135.0,73,164.0,43,14,11360.0
2018-04,150.0,123.0,68,151.0,55,0,8118.0
2018-03,106.0,50.0,76,106.0,26,4,6235.0
2018-02,162.0,118.0,81,163.0,60,0,22703.0
2018-01,60.0,24.0,38,62.0,8,0,3519.0
2017-12,40.0,115.0,34,40.0,32,0,4756.0
2017-11,164.0,88.0,40,165.0,42,4,14657.0
2017-10,63.0,102.0,28,63.0,18,2,13307.0
2017-09,52.0,51.0,34,52.0,24,0,10128.0
2017-08,33.0,8.0,27,33.0,12,0,939.0
2017-07,65.0,63.0,31,65.0,18,6,4424.0
2017-06,76.0,41.0,25,76.0,28,0,9476.0
2017-05,52.0,63.0,34,52.0,29,0,11014.0
2017-04,74.0,84.0,22,74.0,30,0,4648.0
2017-03,30.0,43.0,15,30.0,17,2,3908.0
2017-02,22.0,65.0,10,22.0,18,6,1770.0
2017-01,16.0,9.0,5,16.0,3,0,1982.0
2016-12,87.0,26.0,8,87.0,13,6,5352.0
2016-11,11.0,10.0,5,11.0,13,0,892.0
2016-10,6.0,40.0,3,6.0,17,2,4464.0
2016-09,77.0,386.0,9,77.0,82,8,23261.0
2016-08,11.0,75.0,10,11.0,10,6,3521.0
2016-07,38.0,81.0,5,38.0,12,0,8003.0
2016-06,3.0,85.0,3,3.0,32,0,2705.0
2016-05,0.0,0.0,0,0.0,0,0,0.0
2016-04,73.0,18.0,2,73.0,9,0,1441.0
2016-03,23.0,5.0,3,23.0,0,0,1583.0
2016-02,18.0,1.0,2,18.0,0,0,489.0
2016-01,51.0,9.0,3,51.0,18,0,5196.0
2015-12,5.0,0.0,1,5.0,0,0,16.0
2015-11,47.0,0.0,2,47.0,0,0,773.0
2015-10,10.0,0.0,1,10.0,0,0,35.0
2015-09,30.0,6.0,3,30.0,1,0,1598.0
2015-08,1.0,0.0,1,1.0,0,0,15.0
2015-07,0.0,0.0,0,0.0,0,0,0.0
