month,links,nodes,posts
2018-10,128,443,963
2018-09,124,436,44
2018-08,117,424,74
2018-07,108,396,93
2018-06,99,374,86
2018-05,88,347,135
2018-04,86,320,142
2018-03,79,289,91
2018-02,71,257,149
2018-01,65,203,47
2017-12,64,186,31
2017-11,61,174,160
2017-10,52,158,61
2017-09,50,148,47
2017-08,48,127,32
2017-07,43,114,62
2017-06,39,94,72
2017-05,37,80,40
2017-04,34,63,72
2017-03,30,50,30
2017-02,28,39,19
2017-01,26,34,13
2016-12,26,33,86
2016-11,26,29,11
2016-10,23,26,6
2016-09,22,25,77
2016-08,14,22,9
2016-07,6,16,38
2016-06,5,13,3
2016-05,4,10,0
2016-04,4,10,73
2016-03,4,9,23
2016-02,4,9,18
2016-01,4,9,51
2015-12,2,8,5
2015-11,2,8,47
2015-10,2,8,10
2015-09,2,8,30
2015-08,2,6,1
2015-07,2,6,0
2015-06,2,6,12
2015-05,2,5,0
2015-04,2,5,1
2015-03,1,4,1
2015-02,1,3,3
2015-01,0,2,6
